"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Midland, MI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","78.0","38.0","40.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","9.0","D","D","-"
"25 to 34 years","14.0","6.0","8.0","-"
"35 to 44 years","21.0","13.0","8.0","-"
"45 to 54 years","19.0","8.0","11.0","-"
"55 to 64 years","12.0","6.0","6.0","-"
"65 years and over","3.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","14.0","D","D","-"
"Married","56.0","27.0","29.0","-"
"Other","8.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","28.0","20.0","8.0","-"
"Service occupations","8.0","D","D","-"
"Sales and office occupations","7.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","3.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","29.0","8.0","21.0","-"
"Homemakers","11.0","-","11.0","-"
"Students or children","8.0","D","D","-"
"Retirees","6.0","D","D","-"
"Unemployed","4.0","D","D","-"
"Unknown","3.0","2.0","1.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","7.0","4.0","3.0","-"
"Belarus","D","-","D","-"
"Cameroon","D","D","D","-"
"Canada","13.0","5.0","8.0","-"
"China","D","D","D","-"
"Colombia","D","D","D","-"
"Ethiopia","D","D","-","-"
"Germany","D","D","D","-"
"Greece","D","D","-","-"
"Guinea","D","D","-","-"
"Honduras","D","-","D","-"
"India","10.0","4.0","6.0","-"
"Jamaica","D","-","D","-"
"Kenya","D","-","D","-"
"Lebanon","D","-","D","-"
"Pakistan","4.0","D","D","-"
"Philippines","6.0","D","D","-"
"United Kingdom","6.0","3.0","3.0","-"
"Venezuela","3.0","D","D","-"
"Vietnam","4.0","D","D","-"
"Other","9.0","5.0","4.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
