"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Omaha-Council Bluffs, NE-IA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","971.0","488.0","483.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","102.0","58.0","44.0","-"
"25 to 34 years","319.0","148.0","171.0","-"
"35 to 44 years","308.0","163.0","145.0","-"
"45 to 54 years","148.0","75.0","73.0","-"
"55 to 64 years","66.0","32.0","34.0","-"
"65 years and over","28.0","12.0","16.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","231.0","141.0","90.0","-"
"Married","642.0","304.0","338.0","-"
"Other","98.0","43.0","55.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","257.0","142.0","115.0","-"
"Service occupations","102.0","37.0","65.0","-"
"Sales and office occupations","74.0","24.0","50.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","19.0","19.0","-","-"
"Production, transportation, and material moving occupations","185.0","123.0","62.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","197.0","67.0","130.0","-"
"Homemakers","30.0","-","30.0","-"
"Students or children","83.0","39.0","44.0","-"
"Retirees","14.0","7.0","7.0","-"
"Unemployed","70.0","21.0","49.0","-"
"Unknown","131.0","70.0","61.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","14.0","7.0","7.0","-"
"Burma","9.0","D","D","-"
"Cameroon","9.0","D","D","-"
"Canada","19.0","8.0","11.0","-"
"China","35.0","11.0","24.0","-"
"Colombia","11.0","5.0","6.0","-"
"El Salvador","33.0","14.0","19.0","-"
"Ethiopia","14.0","5.0","9.0","-"
"Honduras","10.0","5.0","5.0","-"
"India","64.0","32.0","32.0","-"
"Korea, South","13.0","4.0","9.0","-"
"Mexico","200.0","109.0","91.0","-"
"Nepal","26.0","15.0","11.0","-"
"Nigeria","14.0","7.0","7.0","-"
"Philippines","34.0","10.0","24.0","-"
"Somalia","34.0","18.0","16.0","-"
"Sudan","79.0","44.0","35.0","-"
"Togo","61.0","39.0","22.0","-"
"United Kingdom","15.0","9.0","6.0","-"
"Vietnam","28.0","12.0","16.0","-"
"Other","248.0","122.0","126.0","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
