"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Orlando-Kissimmee-Sanford, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","8578.0","3864.0","4714.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","788.0","377.0","411.0","-"
"25 to 34 years","2307.0","958.0","1349.0","-"
"35 to 44 years","2324.0","1062.0","1262.0","-"
"45 to 54 years","1737.0","810.0","927.0","-"
"55 to 64 years","892.0","420.0","472.0","-"
"65 years and over","530.0","237.0","293.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1729.0","861.0","868.0","-"
"Married","5550.0","2493.0","3057.0","-"
"Other","1299.0","510.0","789.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","1401.0","668.0","733.0","-"
"Service occupations","928.0","365.0","563.0","-"
"Sales and office occupations","991.0","372.0","619.0","-"
"Farming, fishing, and forestry occupations","13.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","178.0","175.0","3.0","-"
"Production, transportation, and material moving occupations","874.0","567.0","307.0","-"
"Military","6.0","D","D","-"
"No occupation/not working outside home","1543.0","483.0","1060.0","-"
"Homemakers","314.0","8.0","306.0","-"
"Students or children","507.0","201.0","306.0","-"
"Retirees","189.0","84.0","105.0","-"
"Unemployed","533.0","190.0","343.0","-"
"Unknown","2644.0","1219.0","1425.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","397.0","161.0","236.0","-"
"Canada","102.0","52.0","50.0","-"
"China","132.0","65.0","67.0","-"
"Colombia","1409.0","604.0","805.0","-"
"Cuba","346.0","168.0","178.0","-"
"Dominican Republic","418.0","171.0","247.0","-"
"Ecuador","171.0","74.0","97.0","-"
"Guyana","199.0","87.0","112.0","-"
"Haiti","727.0","361.0","366.0","-"
"India","268.0","125.0","143.0","-"
"Jamaica","421.0","182.0","239.0","-"
"Mexico","240.0","130.0","110.0","-"
"Morocco","207.0","121.0","86.0","-"
"Pakistan","97.0","48.0","49.0","-"
"Peru","238.0","105.0","133.0","-"
"Philippines","252.0","91.0","161.0","-"
"Trinidad and Tobago","164.0","57.0","107.0","-"
"United Kingdom","186.0","90.0","96.0","-"
"Venezuela","504.0","211.0","293.0","-"
"Vietnam","206.0","68.0","138.0","-"
"Other","1888.0","889.0","999.0","-"
"Unknown","6.0","4.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
