"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Bangor, ME","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","54.0","22.0","32.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","4.0","D","D","-"
"25 to 34 years","13.0","4.0","9.0","-"
"35 to 44 years","22.0","6.0","16.0","-"
"45 to 54 years","10.0","7.0","3.0","-"
"55 to 64 years","D","D","D","-"
"65 years and over","D","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","D","D","3.0","-"
"Married","47.0","18.0","29.0","-"
"Other","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","16.0","8.0","8.0","-"
"Service occupations","9.0","D","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","-","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","24.0","6.0","18.0","-"
"Homemakers","D","-","D","-"
"Students or children","D","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","20.0","D","D","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","4.0","D","D","-"
"Azerbaijan","D","-","D","-"
"Bangladesh","D","D","D","-"
"Bulgaria","D","-","D","-"
"Burma","D","D","D","-"
"Canada","7.0","D","D","-"
"China","6.0","3.0","3.0","-"
"Colombia","D","-","D","-"
"Gambia, The","D","D","-","-"
"Germany","D","D","-","-"
"India","D","D","D","-"
"Indonesia","D","-","D","-"
"Iran","D","-","D","-"
"Italy","D","-","D","-"
"Lebanon","D","D","D","-"
"Moldova","D","-","D","-"
"Philippines","4.0","D","D","-"
"Romania","D","D","D","-"
"Thailand","D","-","D","-"
"Vietnam","3.0","D","D","-"
"Other","8.0","6.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
