"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Santa Cruz-Watsonville, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","608.0","307.0","301.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","64.0","29.0","35.0","-"
"25 to 34 years","135.0","75.0","60.0","-"
"35 to 44 years","153.0","66.0","87.0","-"
"45 to 54 years","111.0","47.0","64.0","-"
"55 to 64 years","89.0","58.0","31.0","-"
"65 years and over","56.0","32.0","24.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","132.0","74.0","58.0","-"
"Married","406.0","199.0","207.0","-"
"Other","70.0","34.0","36.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","115.0","59.0","56.0","-"
"Service occupations","58.0","23.0","35.0","-"
"Sales and office occupations","20.0","10.0","10.0","-"
"Farming, fishing, and forestry occupations","10.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","D","D","D","-"
"Production, transportation, and material moving occupations","80.0","51.0","29.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","135.0","52.0","83.0","-"
"Homemakers","35.0","-","35.0","-"
"Students or children","37.0","14.0","23.0","-"
"Retirees","32.0","22.0","10.0","-"
"Unemployed","31.0","16.0","15.0","-"
"Unknown","181.0","96.0","85.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","5.0","D","D","-"
"Australia","4.0","D","D","-"
"Brazil","7.0","D","D","-"
"Canada","11.0","7.0","4.0","-"
"China","15.0","D","D","-"
"El Salvador","12.0","6.0","6.0","-"
"France","5.0","D","D","-"
"Germany","7.0","4.0","3.0","-"
"India","16.0","10.0","6.0","-"
"Iran","5.0","D","D","-"
"Ireland","6.0","3.0","3.0","-"
"Korea, South","5.0","D","D","-"
"Mexico","356.0","186.0","170.0","-"
"Netherlands","4.0","D","D","-"
"Peru","5.0","D","D","-"
"Philippines","34.0","13.0","21.0","-"
"Poland","6.0","D","D","-"
"Sweden","4.0","D","D","-"
"Thailand","5.0","-","5.0","-"
"United Kingdom","28.0","14.0","14.0","-"
"Other","67.0","31.0","36.0","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
