"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Sheboygan, WI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","117.0","57.0","60.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","10.0","5.0","5.0","-"
"25 to 34 years","47.0","24.0","23.0","-"
"35 to 44 years","29.0","16.0","13.0","-"
"45 to 54 years","10.0","3.0","7.0","-"
"55 to 64 years","13.0","6.0","7.0","-"
"65 years and over","8.0","3.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","21.0","10.0","11.0","-"
"Married","80.0","43.0","37.0","-"
"Other","16.0","4.0","12.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","9.0","D","D","-"
"Service occupations","8.0","D","D","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","3.0","3.0","-","-"
"Production, transportation, and material moving occupations","45.0","31.0","14.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","44.0","15.0","29.0","-"
"Homemakers","13.0","-","13.0","-"
"Students or children","10.0","D","D","-"
"Retirees","5.0","D","D","-"
"Unemployed","16.0","7.0","9.0","-"
"Unknown","4.0","-","4.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","D","-","D","-"
"Belarus","D","-","D","-"
"Bosnia and Herzegovina","9.0","3.0","6.0","-"
"Burundi","D","D","D","-"
"China","D","-","D","-"
"Croatia","D","-","D","-"
"Czechoslovakia (former)","D","D","-","-"
"Germany","D","D","-","-"
"Guatemala","D","D","D","-"
"India","D","D","D","-"
"Kosovo","D","D","-","-"
"Laos","36.0","19.0","17.0","-"
"Mexico","12.0","D","D","-"
"Nicaragua","D","-","D","-"
"Panama","D","D","-","-"
"Peru","D","D","-","-"
"Philippines","D","-","D","-"
"Poland","D","D","D","-"
"Russia","D","-","D","-"
"Thailand","35.0","16.0","19.0","-"
"Other","4.0","2.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
