"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Beaumont-Port Arthur, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","386.0","208.0","178.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","48.0","26.0","22.0","-"
"25 to 34 years","113.0","57.0","56.0","-"
"35 to 44 years","98.0","50.0","48.0","-"
"45 to 54 years","62.0","35.0","27.0","-"
"55 to 64 years","44.0","29.0","15.0","-"
"65 years and over","21.0","11.0","10.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","84.0","57.0","27.0","-"
"Married","268.0","137.0","131.0","-"
"Other","34.0","14.0","20.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","67.0","37.0","30.0","-"
"Service occupations","35.0","10.0","25.0","-"
"Sales and office occupations","19.0","5.0","14.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","24.0","D","D","-"
"Production, transportation, and material moving occupations","56.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","91.0","28.0","63.0","-"
"Homemakers","40.0","-","40.0","-"
"Students or children","28.0","16.0","12.0","-"
"Retirees","9.0","6.0","3.0","-"
"Unemployed","14.0","6.0","8.0","-"
"Unknown","91.0","52.0","39.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","D","D","D","-"
"Brazil","D","D","-","-"
"China","8.0","5.0","3.0","-"
"Colombia","3.0","D","D","-"
"Congo, Democratic Republic of the","3.0","D","D","-"
"Congo, Republic of the","3.0","D","D","-"
"Dominican Republic","3.0","D","D","-"
"El Salvador","7.0","4.0","3.0","-"
"Honduras","7.0","D","D","-"
"India","28.0","13.0","15.0","-"
"Iran","9.0","D","D","-"
"Korea, South","5.0","D","D","-"
"Lebanon","3.0","D","D","-"
"Mexico","136.0","79.0","57.0","-"
"Nicaragua","9.0","D","D","-"
"Nigeria","8.0","4.0","4.0","-"
"Pakistan","19.0","16.0","3.0","-"
"Philippines","38.0","13.0","25.0","-"
"Venezuela","3.0","D","D","-"
"Vietnam","52.0","25.0","27.0","-"
"Other","36.0","20.0","16.0","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
