"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Springfield, IL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","88.0","43.0","45.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","6.0","D","D","-"
"25 to 34 years","26.0","8.0","18.0","-"
"35 to 44 years","37.0","20.0","17.0","-"
"45 to 54 years","13.0","7.0","6.0","-"
"55 to 64 years","6.0","D","D","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","13.0","9.0","4.0","-"
"Married","66.0","29.0","37.0","-"
"Other","9.0","5.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","41.0","19.0","22.0","-"
"Service occupations","7.0","D","D","-"
"Sales and office occupations","6.0","D","D","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","22.0","8.0","14.0","-"
"Homemakers","9.0","-","9.0","-"
"Students or children","10.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","3.0","D","D","-"
"Unknown","6.0","3.0","3.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bolivia","D","D","-","-"
"Cameroon","D","D","D","-"
"Canada","D","-","D","-"
"Chile","D","-","D","-"
"China","8.0","5.0","3.0","-"
"Colombia","D","-","D","-"
"Czech Republic","D","-","D","-"
"Ethiopia","D","D","D","-"
"Ghana","D","D","D","-"
"India","16.0","6.0","10.0","-"
"Jordan","4.0","4.0","-","-"
"Mexico","3.0","D","D","-"
"Nigeria","5.0","D","D","-"
"Pakistan","3.0","D","D","-"
"Peru","D","-","D","-"
"Philippines","5.0","D","D","-"
"Thailand","D","D","D","-"
"Turkey","8.0","4.0","4.0","-"
"United Kingdom","4.0","D","D","-"
"Vietnam","3.0","D","D","-"
"Other","13.0","8.0","5.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
