"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Whitewater, WI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","73.0","40.0","33.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","10.0","5.0","5.0","-"
"25 to 34 years","15.0","8.0","7.0","-"
"35 to 44 years","25.0","12.0","13.0","-"
"45 to 54 years","8.0","D","D","-"
"55 to 64 years","8.0","5.0","3.0","-"
"65 years and over","7.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","11.0","6.0","5.0","-"
"Married","51.0","31.0","20.0","-"
"Other","11.0","3.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","10.0","D","D","-"
"Service occupations","14.0","8.0","6.0","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","27.0","17.0","10.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","13.0","6.0","7.0","-"
"Homemakers","D","-","D","-"
"Students or children","3.0","D","D","-"
"Retirees","6.0","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","4.0","2.0","2.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","D","-","D","-"
"Australia","D","-","D","-"
"Bosnia and Herzegovina","D","D","-","-"
"Burkina Faso","D","-","D","-"
"China","D","-","D","-"
"Dominican Republic","D","D","-","-"
"El Salvador","D","-","D","-"
"Germany","D","D","-","-"
"India","D","D","-","-"
"Kenya","D","D","-","-"
"Macedonia","3.0","D","D","-"
"Mexico","43.0","26.0","17.0","-"
"Philippines","4.0","D","D","-"
"Poland","D","D","D","-"
"Romania","D","-","D","-"
"Sierra Leone","D","D","-","-"
"Switzerland","D","D","-","-"
"Ukraine","3.0","D","D","-"
"United Kingdom","D","D","-","-"
"Venezuela","D","-","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
