"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Worcester, MA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1999.0","942.0","1057.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","187.0","85.0","102.0","-"
"25 to 34 years","496.0","208.0","288.0","-"
"35 to 44 years","655.0","327.0","328.0","-"
"45 to 54 years","411.0","205.0","206.0","-"
"55 to 64 years","161.0","77.0","84.0","-"
"65 years and over","89.0","40.0","49.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","377.0","189.0","188.0","-"
"Married","1395.0","674.0","721.0","-"
"Other","227.0","79.0","148.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","533.0","283.0","250.0","-"
"Service occupations","282.0","95.0","187.0","-"
"Sales and office occupations","140.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","D","-"
"Production, transportation, and material moving occupations","243.0","165.0","78.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","394.0","117.0","277.0","-"
"Homemakers","90.0","3.0","87.0","-"
"Students or children","122.0","45.0","77.0","-"
"Retirees","54.0","23.0","31.0","-"
"Unemployed","128.0","46.0","82.0","-"
"Unknown","372.0","185.0","187.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","131.0","62.0","69.0","-"
"Brazil","230.0","98.0","132.0","-"
"Canada","33.0","15.0","18.0","-"
"China","72.0","34.0","38.0","-"
"Colombia","32.0","10.0","22.0","-"
"Dominican Republic","131.0","60.0","71.0","-"
"Ecuador","23.0","10.0","13.0","-"
"Egypt","62.0","39.0","23.0","-"
"El Salvador","25.0","14.0","11.0","-"
"Ghana","175.0","83.0","92.0","-"
"Guatemala","19.0","11.0","8.0","-"
"Haiti","36.0","21.0","15.0","-"
"India","202.0","104.0","98.0","-"
"Jamaica","23.0","13.0","10.0","-"
"Kenya","58.0","26.0","32.0","-"
"Liberia","56.0","22.0","34.0","-"
"Poland","53.0","21.0","32.0","-"
"Russia","22.0","5.0","17.0","-"
"United Kingdom","37.0","20.0","17.0","-"
"Vietnam","65.0","30.0","35.0","-"
"Other","514.0","244.0","270.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
