"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Brunswick, GA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","55.0","24.0","31.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","5.0","D","D","-"
"25 to 34 years","17.0","6.0","11.0","-"
"35 to 44 years","11.0","5.0","6.0","-"
"45 to 54 years","12.0","7.0","5.0","-"
"55 to 64 years","4.0","-","4.0","-"
"65 years and over","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","8.0","3.0","5.0","-"
"Married","37.0","15.0","22.0","-"
"Other","10.0","6.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","7.0","D","D","-"
"Service occupations","D","4.0","D","-"
"Sales and office occupations","6.0","-","6.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","8.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","15.0","5.0","10.0","-"
"Homemakers","D","-","D","-"
"Students or children","D","D","-","-"
"Retirees","-","-","-","-"
"Unemployed","8.0","D","D","-"
"Unknown","11.0","5.0","6.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bahamas, The","D","D","-","-"
"Bangladesh","D","-","D","-"
"Canada","D","D","-","-"
"Colombia","D","D","D","-"
"Costa Rica","D","-","D","-"
"Cuba","D","-","D","-"
"Czechoslovakia (former)","D","D","-","-"
"Ethiopia","D","D","-","-"
"Germany","3.0","D","D","-"
"Guatemala","D","D","-","-"
"Haiti","D","-","D","-"
"Honduras","D","-","D","-"
"India","8.0","D","D","-"
"Jamaica","3.0","D","D","-"
"Mexico","7.0","D","D","-"
"Peru","3.0","D","D","-"
"Philippines","4.0","D","D","-"
"Thailand","3.0","D","D","-"
"United Kingdom","6.0","D","D","-"
"Venezuela","D","D","D","-"
"Other","4.0","-","4.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
