"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Carbondale, IL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","56.0","27.0","29.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","3.0","D","D","-"
"25 to 34 years","13.0","8.0","5.0","-"
"35 to 44 years","22.0","8.0","14.0","-"
"45 to 54 years","14.0","8.0","6.0","-"
"55 to 64 years","4.0","D","D","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","12.0","D","D","-"
"Married","38.0","15.0","23.0","-"
"Other","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","21.0","13.0","8.0","-"
"Service occupations","5.0","D","D","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","-","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","25.0","9.0","16.0","-"
"Homemakers","6.0","-","6.0","-"
"Students or children","12.0","6.0","6.0","-"
"Retirees","-","-","-","-"
"Unemployed","7.0","3.0","4.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","D","D","-","-"
"Canada","D","-","D","-"
"China","5.0","D","D","-"
"Colombia","D","-","D","-"
"Cuba","D","-","D","-"
"Ecuador","D","-","D","-"
"Eritrea","D","-","D","-"
"Ethiopia","D","D","-","-"
"Ghana","3.0","D","D","-"
"India","D","D","D","-"
"Iran","D","D","D","-"
"Kenya","3.0","D","D","-"
"Mongolia","D","D","D","-"
"Nigeria","4.0","D","D","-"
"Pakistan","4.0","D","D","-"
"Philippines","D","-","D","-"
"South Africa","D","D","D","-"
"Sudan","D","D","D","-"
"Syria","D","D","D","-"
"United Kingdom","3.0","D","D","-"
"Other","12.0","7.0","5.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
