"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Charlottesville, VA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","165.0","89.0","76.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","19.0","11.0","8.0","-"
"25 to 34 years","37.0","21.0","16.0","-"
"35 to 44 years","52.0","27.0","25.0","-"
"45 to 54 years","33.0","19.0","14.0","-"
"55 to 64 years","16.0","8.0","8.0","-"
"65 years and over","8.0","3.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","44.0","28.0","16.0","-"
"Married","107.0","56.0","51.0","-"
"Other","14.0","5.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","44.0","25.0","19.0","-"
"Service occupations","29.0","19.0","10.0","-"
"Sales and office occupations","19.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","40.0","13.0","27.0","-"
"Homemakers","D","-","D","-"
"Students or children","20.0","9.0","11.0","-"
"Retirees","D","D","D","-"
"Unemployed","13.0","D","D","-"
"Unknown","25.0","15.0","10.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","4.0","D","D","-"
"Bolivia","3.0","D","D","-"
"Brazil","3.0","D","D","-"
"Burma","6.0","D","D","-"
"Canada","5.0","D","D","-"
"China","20.0","8.0","12.0","-"
"El Salvador","5.0","D","D","-"
"Ethiopia","4.0","D","D","-"
"Germany","3.0","D","D","-"
"India","17.0","11.0","6.0","-"
"Italy","6.0","D","D","-"
"Jamaica","3.0","-","3.0","-"
"Kenya","5.0","D","D","-"
"Korea, South","5.0","D","D","-"
"Mexico","3.0","D","D","-"
"Pakistan","4.0","D","D","-"
"Poland","6.0","3.0","3.0","-"
"Russia","4.0","D","D","-"
"United Kingdom","7.0","3.0","4.0","-"
"Uzbekistan","5.0","D","D","-"
"Other","47.0","28.0","19.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
