"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Corvallis, OR","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","71.0","38.0","33.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","10.0","D","D","-"
"25 to 34 years","13.0","7.0","6.0","-"
"35 to 44 years","18.0","9.0","9.0","-"
"45 to 54 years","22.0","12.0","10.0","-"
"55 to 64 years","D","D","3.0","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","18.0","D","D","-"
"Married","49.0","24.0","25.0","-"
"Other","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","17.0","12.0","5.0","-"
"Service occupations","D","D","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","28.0","15.0","13.0","-"
"Homemakers","D","-","D","-"
"Students or children","11.0","8.0","3.0","-"
"Retirees","D","-","D","-"
"Unemployed","14.0","7.0","7.0","-"
"Unknown","17.0","5.0","12.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","D","-","D","-"
"Algeria","D","-","D","-"
"Bangladesh","D","D","D","-"
"Burma","D","-","D","-"
"Canada","D","D","-","-"
"Chile","D","D","-","-"
"China","8.0","4.0","4.0","-"
"Dominican Republic","D","D","-","-"
"Ethiopia","3.0","D","D","-"
"Germany","4.0","D","D","-"
"Ghana","D","D","-","-"
"Hong Kong","D","-","D","-"
"India","3.0","D","D","-"
"Iran","D","D","-","-"
"Mexico","7.0","D","D","-"
"Philippines","D","D","D","-"
"Poland","D","D","D","-"
"Russia","D","-","D","-"
"United Kingdom","8.0","5.0","3.0","-"
"Vietnam","4.0","-","4.0","-"
"Other","13.0","7.0","6.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
