"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Daphne-Fairhope-Foley, AL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","96.0","42.0","54.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","14.0","D","D","-"
"25 to 34 years","29.0","9.0","20.0","-"
"35 to 44 years","22.0","10.0","12.0","-"
"45 to 54 years","20.0","10.0","10.0","-"
"55 to 64 years","D","7.0","D","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","14.0","6.0","8.0","-"
"Married","69.0","33.0","36.0","-"
"Other","13.0","3.0","10.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","19.0","11.0","8.0","-"
"Service occupations","15.0","D","D","-"
"Sales and office occupations","11.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","4.0","4.0","-","-"
"Military","D","D","-","-"
"No occupation/not working outside home","12.0","4.0","8.0","-"
"Homemakers","D","-","D","-"
"Students or children","5.0","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","3.0","D","D","-"
"Unknown","31.0","13.0","18.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","D","-","-"
"Aruba","D","D","-","-"
"Bosnia and Herzegovina","D","D","D","-"
"Brazil","7.0","D","D","-"
"Canada","D","D","-","-"
"China","3.0","D","D","-"
"Colombia","3.0","-","3.0","-"
"Czech Republic","4.0","-","4.0","-"
"Czechoslovakia (former)","D","-","D","-"
"Honduras","D","-","D","-"
"India","7.0","4.0","3.0","-"
"Italy","6.0","D","D","-"
"Jordan","D","-","D","-"
"Mexico","14.0","7.0","7.0","-"
"Peru","D","-","D","-"
"Philippines","4.0","D","D","-"
"Russia","D","D","-","-"
"South Africa","5.0","D","D","-"
"Sweden","D","D","D","-"
"United Kingdom","3.0","3.0","-","-"
"Other","22.0","12.0","10.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
