"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Denver-Aurora-Broomfield, CO","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","5198.0","2355.0","2843.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","494.0","208.0","286.0","-"
"25 to 34 years","1497.0","631.0","866.0","-"
"35 to 44 years","1577.0","747.0","830.0","-"
"45 to 54 years","817.0","414.0","403.0","-"
"55 to 64 years","458.0","208.0","250.0","-"
"65 years and over","355.0","147.0","208.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1019.0","522.0","497.0","-"
"Married","3466.0","1570.0","1896.0","-"
"Other","713.0","263.0","450.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","1053.0","527.0","526.0","-"
"Service occupations","714.0","261.0","453.0","-"
"Sales and office occupations","447.0","155.0","292.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","121.0","D","D","-"
"Production, transportation, and material moving occupations","594.0","438.0","156.0","-"
"Military","D","D","D","-"
"No occupation/not working outside home","1453.0","454.0","999.0","-"
"Homemakers","224.0","3.0","221.0","-"
"Students or children","294.0","117.0","177.0","-"
"Retirees","173.0","77.0","96.0","-"
"Unemployed","762.0","257.0","505.0","-"
"Unknown","802.0","388.0","414.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","125.0","55.0","70.0","-"
"China","162.0","68.0","94.0","-"
"Colombia","89.0","36.0","53.0","-"
"El Salvador","70.0","34.0","36.0","-"
"Ethiopia","318.0","170.0","148.0","-"
"Ghana","66.0","39.0","27.0","-"
"India","185.0","93.0","92.0","-"
"Iran","62.0","20.0","42.0","-"
"Korea, South","99.0","42.0","57.0","-"
"Mexico","1234.0","604.0","630.0","-"
"Morocco","62.0","32.0","30.0","-"
"Nepal","82.0","44.0","38.0","-"
"Peru","67.0","28.0","39.0","-"
"Philippines","89.0","23.0","66.0","-"
"Poland","64.0","21.0","43.0","-"
"Russia","167.0","54.0","113.0","-"
"Somalia","75.0","40.0","35.0","-"
"Ukraine","86.0","31.0","55.0","-"
"United Kingdom","94.0","52.0","42.0","-"
"Vietnam","259.0","83.0","176.0","-"
"Other","1741.0","785.0","956.0","-"
"Unknown","2.0","1.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
