"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Des Moines-West Des Moines, IA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","626.0","310.0","316.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","73.0","26.0","47.0","-"
"25 to 34 years","178.0","92.0","86.0","-"
"35 to 44 years","186.0","103.0","83.0","-"
"45 to 54 years","106.0","54.0","52.0","-"
"55 to 64 years","56.0","27.0","29.0","-"
"65 years and over","27.0","8.0","19.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","152.0","87.0","65.0","-"
"Married","418.0","211.0","207.0","-"
"Other","56.0","12.0","44.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","140.0","71.0","69.0","-"
"Service occupations","96.0","39.0","57.0","-"
"Sales and office occupations","70.0","25.0","45.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","19.0","19.0","-","-"
"Production, transportation, and material moving occupations","110.0","90.0","20.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","154.0","43.0","111.0","-"
"Homemakers","32.0","D","D","-"
"Students or children","53.0","23.0","30.0","-"
"Retirees","20.0","D","D","-"
"Unemployed","49.0","12.0","37.0","-"
"Unknown","34.0","20.0","14.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","127.0","67.0","60.0","-"
"Cambodia","9.0","D","D","-"
"Canada","5.0","D","D","-"
"China","14.0","4.0","10.0","-"
"Colombia","6.0","D","D","-"
"Ecuador","6.0","D","D","-"
"El Salvador","14.0","7.0","7.0","-"
"India","41.0","20.0","21.0","-"
"Kenya","17.0","7.0","10.0","-"
"Laos","18.0","6.0","12.0","-"
"Liberia","24.0","7.0","17.0","-"
"Mexico","74.0","45.0","29.0","-"
"Nigeria","9.0","3.0","6.0","-"
"Russia","12.0","4.0","8.0","-"
"Somalia","15.0","9.0","6.0","-"
"Sudan","67.0","46.0","21.0","-"
"Togo","8.0","5.0","3.0","-"
"Uganda","6.0","D","D","-"
"Ukraine","7.0","4.0","3.0","-"
"Vietnam","42.0","13.0","29.0","-"
"Other","105.0","48.0","57.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
