"Persons Naturalized During Fiscal Year 2003","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Burkina Faso","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","12.0","9.0","3.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","-","-","-","-"
"25-34 years","5.0","D","D","-"
"35-44 years","4.0","4.0","-","-"
"45-54 years","D","D","D","-"
"55-64 years","D","D","-","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","-","-","-","-"
"Married","D","D","3.0","-"
"Other","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","-","-"
"Professional and technical","3.0","D","D","-"
"Sales","D","-","D","-"
"Administrative support","-","-","-","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","-","-","-","-"
"Precision production, craft, repair","-","-","-","-"
"Service","D","D","-","-"
"Military","D","D","-","-"
"No occupation","D","D","-","-"
"Unknown","3.0","3.0","-","-"
"","","","",""
"Top 20 states of permanent residence","","","",""
"District of Columbia","D","D","-","-"
"Illinois","D","D","-","-"
"Maryland","3.0","D","D","-"
"Massachusetts","D","-","D","-"
"New Hampshire","D","D","-","-"
"New York","D","D","-","-"
"Virginia","D","D","-","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
