"Persons Naturalized During Fiscal Year 2003","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Congo, Republic of the","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","123.0","67.0","56.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","13.0","5.0","8.0","-"
"25-34 years","28.0","14.0","14.0","-"
"35-44 years","52.0","32.0","20.0","-"
"45-54 years","22.0","11.0","11.0","-"
"55-64 years","D","D","3.0","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","33.0","14.0","19.0","-"
"Married","76.0","47.0","29.0","-"
"Other","13.0","6.0","7.0","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","8.0","D","D","-"
"Professional and technical","19.0","11.0","8.0","-"
"Sales","9.0","4.0","5.0","-"
"Administrative support","D","D","3.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","11.0","8.0","3.0","-"
"Precision production, craft, repair","D","D","-","-"
"Service","16.0","4.0","12.0","-"
"Military","6.0","D","D","-"
"No occupation","17.0","12.0","5.0","-"
"Unknown","31.0","15.0","16.0","-"
"","","","",""
"Top 20 states of permanent residence","","","",""
"Alaska","D","-","D","-"
"California","21.0","11.0","10.0","-"
"Colorado","D","D","-","-"
"District of Columbia","D","D","-","-"
"Florida","D","-","D","-"
"Georgia","4.0","D","D","-"
"Illinois","D","D","D","-"
"Indiana","D","D","D","-"
"Iowa","4.0","D","D","-"
"Maryland","18.0","9.0","9.0","-"
"Massachusetts","4.0","4.0","-","-"
"Minnesota","3.0","D","D","-"
"Missouri","D","-","D","-"
"New York","12.0","7.0","5.0","-"
"North Carolina","10.0","6.0","4.0","-"
"Pennsylvania","3.0","D","D","-"
"South Dakota","D","D","D","-"
"Texas","8.0","4.0","4.0","-"
"Vermont","D","D","D","-"
"Virginia","9.0","D","D","-"
"Other","10.0","5.0","5.0","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
