"Persons Naturalized During Fiscal Year 2003","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Antigua and Barbuda","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","325.0","141.0","184.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","18.0","7.0","11.0","-"
"25-34 years","79.0","29.0","50.0","-"
"35-44 years","98.0","49.0","49.0","-"
"45-54 years","68.0","31.0","37.0","-"
"55-64 years","42.0","16.0","26.0","-"
"65 years and over","20.0","9.0","11.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","111.0","35.0","76.0","-"
"Married","162.0","80.0","82.0","-"
"Other","42.0","18.0","24.0","-"
"Unknown","10.0","8.0","2.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","11.0","6.0","5.0","-"
"Professional and technical","30.0","6.0","24.0","-"
"Sales","13.0","3.0","10.0","-"
"Administrative support","32.0","4.0","28.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","19.0","16.0","3.0","-"
"Precision production, craft, repair","23.0","23.0","-","-"
"Service","39.0","12.0","27.0","-"
"Military","10.0","7.0","3.0","-"
"No occupation","47.0","17.0","30.0","-"
"Unknown","101.0","47.0","54.0","-"
"","","","",""
"Top 20 states of permanent residence","","","",""
"Alaska","D","-","D","-"
"California","5.0","D","D","-"
"Colorado","D","D","-","-"
"Connecticut","8.0","3.0","5.0","-"
"Florida","45.0","20.0","25.0","-"
"Georgia","20.0","7.0","13.0","-"
"Hawaii","3.0","D","D","-"
"Illinois","D","D","-","-"
"Indiana","D","-","D","-"
"Kansas","D","D","-","-"
"Louisiana","D","D","-","-"
"Maryland","7.0","D","D","-"
"Massachusetts","7.0","3.0","4.0","-"
"New Jersey","25.0","8.0","17.0","-"
"New York","130.0","54.0","76.0","-"
"North Carolina","3.0","D","D","-"
"Pennsylvania","D","D","D","-"
"Texas","3.0","D","D","-"
"U.S. Possessions","42.0","17.0","25.0","-"
"Virginia","3.0","D","D","-"
"Other","5.0","3.0","2.0","-"
"Unknown","10.0","8.0","2.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
