"Persons Naturalized During Fiscal Year 2003","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Benin","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","27.0","18.0","9.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","-","-","-","-"
"25-34 years","D","D","3.0","-"
"35-44 years","17.0","11.0","6.0","-"
"45-54 years","-","-","-","-"
"55-64 years","-","-","-","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","D","D","3.0","-"
"Married","18.0","12.0","6.0","-"
"Other","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","D","D","D","-"
"Professional and technical","D","D","-","-"
"Sales","D","D","-","-"
"Administrative support","D","-","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","D","D","-","-"
"Precision production, craft, repair","D","D","-","-"
"Service","D","D","-","-"
"Military","3.0","3.0","-","-"
"No occupation","3.0","D","D","-"
"Unknown","10.0","6.0","4.0","-"
"","","","",""
"Top 20 states of permanent residence","","","",""
"California","5.0","D","D","-"
"Colorado","3.0","3.0","-","-"
"Connecticut","D","-","D","-"
"Georgia","3.0","D","D","-"
"Hawaii","D","D","-","-"
"Illinois","D","D","-","-"
"Maryland","D","-","D","-"
"Massachusetts","D","D","-","-"
"New Jersey","D","D","D","-"
"New York","D","D","-","-"
"Oregon","D","D","-","-"
"Pennsylvania","D","-","D","-"
"Virginia","3.0","D","D","-"
"Washington","D","-","D","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
