"Persons Naturalized During Fiscal Year 2004","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Brazil","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","4074.0","1566.0","2491.0","17.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","314.0","144.0","168.0","2.0"
"25-34 years","963.0","366.0","594.0","3.0"
"35-44 years","1548.0","621.0","920.0","7.0"
"45-54 years","802.0","281.0","519.0","2.0"
"55-64 years","308.0","109.0","197.0","2.0"
"65 years and over","139.0","45.0","93.0","1.0"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","584.0","321.0","263.0","-"
"Married","2791.0","1019.0","1772.0","-"
"Other","625.0","201.0","424.0","-"
"Unknown","74.0","25.0","32.0","17.0"
"","","","",""
"Occupation","","","",""
"Executive and managerial","274.0","145.0","129.0","-"
"Professional and technical","320.0","143.0","177.0","-"
"Sales","179.0","70.0","109.0","-"
"Administrative support","125.0","31.0","94.0","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","99.0","72.0","27.0","-"
"Precision production, craft, repair","D","D","3.0","-"
"Service","195.0","63.0","132.0","-"
"Military","47.0","41.0","6.0","-"
"No occupation","519.0","92.0","427.0","-"
"Unknown","2281.0","877.0","1387.0","17.0"
"","","","",""
"Top 20 states of permanent residence","","","",""
"Arizona","31.0","7.0","24.0","-"
"California","637.0","225.0","412.0","-"
"Colorado","33.0","14.0","19.0","-"
"Connecticut","124.0","40.0","84.0","-"
"Florida","913.0","339.0","574.0","-"
"Georgia","44.0","14.0","30.0","-"
"Illinois","65.0","20.0","45.0","-"
"Maryland","109.0","43.0","66.0","-"
"Massachusetts","409.0","190.0","219.0","-"
"Michigan","66.0","20.0","46.0","-"
"Minnesota","24.0","7.0","17.0","-"
"Nevada","38.0","17.0","21.0","-"
"New Jersey","429.0","178.0","251.0","-"
"New York","394.0","172.0","222.0","-"
"North Carolina","39.0","20.0","19.0","-"
"Pennsylvania","55.0","18.0","37.0","-"
"Texas","147.0","53.0","94.0","-"
"Utah","56.0","15.0","41.0","-"
"Virginia","94.0","33.0","61.0","-"
"Washington","38.0","15.0","23.0","-"
"Other","264.0","107.0","157.0","-"
"Unknown","65.0","19.0","29.0","17.0"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
