"Persons Naturalized During Fiscal Year 2005","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Bahamas, The","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","343.0","123.0","220.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","31.0","13.0","18.0","-"
"25-34 years","132.0","37.0","95.0","-"
"35-44 years","113.0","43.0","70.0","-"
"45-54 years","44.0","22.0","22.0","-"
"55-64 years","13.0","3.0","10.0","-"
"65 years and over","10.0","5.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","95.0","33.0","62.0","-"
"Married","206.0","83.0","123.0","-"
"Other","35.0","3.0","32.0","-"
"Unknown","7.0","4.0","3.0","-"
"","","","",""
"Occupation","","","",""
"Executive and managerial","14.0","4.0","10.0","-"
"Professional and technical","19.0","8.0","11.0","-"
"Sales","7.0","D","D","-"
"Administrative support","8.0","3.0","5.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","3.0","D","D","-"
"Precision production, craft, repair","3.0","3.0","-","-"
"Service","12.0","3.0","9.0","-"
"Military","12.0","6.0","6.0","-"
"No occupation","32.0","8.0","24.0","-"
"Unknown","233.0","83.0","150.0","-"
"","","","",""
"Top 20 states of permanent residence","","","",""
"Alabama","D","D","-","-"
"Alaska","D","D","-","-"
"California","15.0","8.0","7.0","-"
"Florida","176.0","53.0","123.0","-"
"Georgia","12.0","5.0","7.0","-"
"Illinois","3.0","D","D","-"
"Maryland","11.0","4.0","7.0","-"
"Massachusetts","4.0","-","4.0","-"
"Michigan","4.0","D","D","-"
"Minnesota","3.0","3.0","-","-"
"New Jersey","10.0","D","D","-"
"New York","34.0","14.0","20.0","-"
"North Carolina","3.0","D","D","-"
"Pennsylvania","4.0","D","D","-"
"Tennessee","5.0","D","D","-"
"Texas","11.0","D","D","-"
"Virginia","15.0","6.0","9.0","-"
"Washington","D","D","D","-"
"West Virginia","D","D","-","-"
"Wisconsin","D","D","D","-"
"Other","17.0","8.0","9.0","-"
"Unknown","7.0","4.0","3.0","-"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
