"Persons Naturalized During Fiscal Year 2005","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Belize","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","704.0","270.0","433.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","51.0","26.0","25.0","-"
"25-34 years","158.0","63.0","95.0","-"
"35-44 years","204.0","81.0","122.0","1.0"
"45-54 years","145.0","44.0","101.0","-"
"55-64 years","96.0","37.0","59.0","-"
"65 years and over","50.0","19.0","31.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","173.0","63.0","110.0","-"
"Married","424.0","181.0","243.0","-"
"Other","94.0","19.0","75.0","-"
"Unknown","13.0","7.0","5.0","1.0"
"","","","",""
"Occupation","","","",""
"Executive and managerial","29.0","D","D","-"
"Professional and technical","46.0","10.0","36.0","-"
"Sales","17.0","10.0","7.0","-"
"Administrative support","21.0","D","D","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","25.0","22.0","3.0","-"
"Precision production, craft, repair","17.0","17.0","-","-"
"Service","35.0","12.0","23.0","-"
"Military","34.0","27.0","7.0","-"
"No occupation","64.0","18.0","46.0","-"
"Unknown","416.0","142.0","273.0","1.0"
"","","","",""
"Top 20 states of permanent residence","","","",""
"Alabama","3.0","3.0","-","-"
"Arizona","10.0","5.0","5.0","-"
"California","301.0","105.0","196.0","-"
"Colorado","3.0","3.0","-","-"
"Florida","36.0","14.0","22.0","-"
"Georgia","9.0","4.0","5.0","-"
"Hawaii","4.0","D","D","-"
"Illinois","77.0","26.0","51.0","-"
"Louisiana","4.0","D","D","-"
"Maryland","5.0","D","D","-"
"Massachusetts","6.0","D","D","-"
"Michigan","3.0","-","3.0","-"
"Nevada","8.0","-","8.0","-"
"New Jersey","12.0","6.0","6.0","-"
"New York","117.0","52.0","65.0","-"
"North Carolina","9.0","6.0","3.0","-"
"Oklahoma","3.0","3.0","-","-"
"Pennsylvania","5.0","D","D","-"
"Texas","46.0","21.0","25.0","-"
"Virginia","13.0","5.0","8.0","-"
"Other","22.0","7.0","15.0","-"
"Unknown","8.0","3.0","4.0","1.0"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
