"Persons Naturalized During Fiscal Year 2005","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Colombia","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","11396.0","4316.0","7054.0","26.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","1159.0","544.0","612.0","3.0"
"25-34 years","2738.0","1057.0","1673.0","8.0"
"35-44 years","3340.0","1230.0","2103.0","7.0"
"45-54 years","2140.0","762.0","1375.0","3.0"
"55-64 years","1155.0","422.0","728.0","5.0"
"65 years and over","864.0","301.0","563.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","2134.0","1028.0","1106.0","-"
"Married","7106.0","2617.0","4489.0","-"
"Other","2018.0","619.0","1399.0","-"
"Unknown","138.0","52.0","60.0","26.0"
"","","","",""
"Occupation","","","",""
"Executive and managerial","368.0","170.0","198.0","-"
"Professional and technical","466.0","187.0","279.0","-"
"Sales","311.0","110.0","201.0","-"
"Administrative support","193.0","D","D","-"
"Farming, forestry, fisheries","D","D","-","-"
"Operators, fabricators, laborers","569.0","344.0","225.0","-"
"Precision production, craft, repair","D","92.0","D","-"
"Service","423.0","138.0","285.0","-"
"Military","235.0","190.0","45.0","-"
"No occupation","1365.0","369.0","996.0","-"
"Unknown","7362.0","2681.0","4655.0","26.0"
"","","","",""
"Top 20 states of permanent residence","","","",""
"California","864.0","321.0","543.0","-"
"Connecticut","323.0","118.0","205.0","-"
"Florida","2908.0","1053.0","1855.0","-"
"Georgia","190.0","72.0","118.0","-"
"Illinois","212.0","90.0","122.0","-"
"Maryland","132.0","47.0","85.0","-"
"Massachusetts","378.0","132.0","246.0","-"
"Michigan","50.0","20.0","30.0","-"
"Nevada","53.0","16.0","37.0","-"
"New Jersey","1742.0","695.0","1047.0","-"
"New York","2374.0","972.0","1402.0","-"
"North Carolina","135.0","52.0","83.0","-"
"Ohio","66.0","18.0","48.0","-"
"Pennsylvania","213.0","81.0","132.0","-"
"Rhode Island","141.0","62.0","79.0","-"
"Tennessee","50.0","23.0","27.0","-"
"Texas","506.0","162.0","344.0","-"
"U.S. Possessions","81.0","37.0","44.0","-"
"Virginia","219.0","85.0","134.0","-"
"Washington","60.0","23.0","37.0","-"
"Other","582.0","195.0","387.0","-"
"Unknown","117.0","42.0","49.0","26.0"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
