"Persons Naturalized During Fiscal Year 2005","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Afghanistan","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1464.0","575.0","888.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","195.0","71.0","124.0","-"
"25-34 years","526.0","182.0","343.0","1.0"
"35-44 years","318.0","138.0","180.0","-"
"45-54 years","179.0","100.0","79.0","-"
"55-64 years","117.0","47.0","70.0","-"
"65 years and over","129.0","37.0","92.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","409.0","209.0","200.0","-"
"Married","883.0","330.0","553.0","-"
"Other","162.0","31.0","131.0","-"
"Unknown","10.0","5.0","4.0","1.0"
"","","","",""
"Occupation","","","",""
"Executive and managerial","49.0","37.0","12.0","-"
"Professional and technical","31.0","16.0","15.0","-"
"Sales","117.0","59.0","58.0","-"
"Administrative support","15.0","6.0","9.0","-"
"Farming, forestry, fisheries","-","-","-","-"
"Operators, fabricators, laborers","36.0","27.0","9.0","-"
"Precision production, craft, repair","D","D","4.0","-"
"Service","38.0","17.0","21.0","-"
"Military","D","D","-","-"
"No occupation","235.0","63.0","172.0","-"
"Unknown","934.0","345.0","588.0","1.0"
"","","","",""
"Top 20 states of permanent residence","","","",""
"Arizona","11.0","4.0","7.0","-"
"California","658.0","260.0","398.0","-"
"Colorado","27.0","9.0","18.0","-"
"Connecticut","8.0","D","D","-"
"Florida","11.0","D","D","-"
"Georgia","19.0","7.0","12.0","-"
"Illinois","23.0","7.0","16.0","-"
"Maryland","22.0","7.0","15.0","-"
"Massachusetts","10.0","3.0","7.0","-"
"Minnesota","13.0","5.0","8.0","-"
"Missouri","20.0","4.0","16.0","-"
"Nevada","11.0","7.0","4.0","-"
"New Jersey","54.0","29.0","25.0","-"
"New York","173.0","70.0","103.0","-"
"North Carolina","10.0","3.0","7.0","-"
"Pennsylvania","11.0","4.0","7.0","-"
"Texas","32.0","11.0","21.0","-"
"Utah","12.0","D","D","-"
"Virginia","237.0","99.0","138.0","-"
"Washington","21.0","10.0","11.0","-"
"Other","72.0","26.0","46.0","-"
"Unknown","9.0","4.0","4.0","1.0"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
