"Persons Naturalized During Fiscal Year 2005","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Cambodia","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","4806.0","1931.0","2863.0","12.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","323.0","131.0","191.0","1.0"
"25-34 years","1339.0","489.0","849.0","1.0"
"35-44 years","1128.0","556.0","568.0","4.0"
"45-54 years","818.0","325.0","491.0","2.0"
"55-64 years","687.0","244.0","441.0","2.0"
"65 years and over","511.0","186.0","323.0","2.0"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1332.0","703.0","629.0","-"
"Married","2644.0","1040.0","1604.0","-"
"Other","787.0","175.0","612.0","-"
"Unknown","43.0","13.0","18.0","12.0"
"","","","",""
"Occupation","","","",""
"Executive and managerial","77.0","48.0","29.0","-"
"Professional and technical","67.0","39.0","28.0","-"
"Sales","109.0","23.0","86.0","-"
"Administrative support","60.0","D","D","-"
"Farming, forestry, fisheries","3.0","D","D","-"
"Operators, fabricators, laborers","394.0","208.0","186.0","-"
"Precision production, craft, repair","91.0","76.0","15.0","-"
"Service","130.0","55.0","75.0","-"
"Military","21.0","D","D","-"
"No occupation","599.0","177.0","422.0","-"
"Unknown","3255.0","1273.0","1970.0","12.0"
"","","","",""
"Top 20 states of permanent residence","","","",""
"California","1774.0","736.0","1038.0","-"
"Colorado","39.0","15.0","24.0","-"
"Connecticut","69.0","25.0","44.0","-"
"Florida","71.0","26.0","45.0","-"
"Georgia","58.0","30.0","28.0","-"
"Illinois","59.0","20.0","39.0","-"
"Maine","67.0","29.0","38.0","-"
"Massachusetts","768.0","286.0","482.0","-"
"Michigan","40.0","20.0","20.0","-"
"Minnesota","187.0","64.0","123.0","-"
"New York","73.0","28.0","45.0","-"
"North Carolina","41.0","20.0","21.0","-"
"Ohio","129.0","57.0","72.0","-"
"Oregon","54.0","22.0","32.0","-"
"Pennsylvania","230.0","100.0","130.0","-"
"Rhode Island","91.0","34.0","57.0","-"
"Texas","190.0","88.0","102.0","-"
"Utah","44.0","20.0","24.0","-"
"Virginia","95.0","42.0","53.0","-"
"Washington","411.0","150.0","261.0","-"
"Other","277.0","109.0","168.0","-"
"Unknown","39.0","10.0","17.0","12.0"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
