"Persons Naturalized During Fiscal Year 2005","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Azerbaijan","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","904.0","365.0","537.0","2.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","77.0","38.0","39.0","-"
"25-34 years","172.0","65.0","106.0","1.0"
"35-44 years","192.0","71.0","121.0","-"
"45-54 years","187.0","83.0","103.0","1.0"
"55-64 years","109.0","48.0","61.0","-"
"65 years and over","167.0","60.0","107.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","159.0","69.0","90.0","-"
"Married","560.0","249.0","311.0","-"
"Other","173.0","41.0","132.0","-"
"Unknown","12.0","6.0","4.0","2.0"
"","","","",""
"Occupation","","","",""
"Executive and managerial","26.0","D","D","-"
"Professional and technical","45.0","16.0","29.0","-"
"Sales","14.0","D","D","-"
"Administrative support","12.0","D","D","-"
"Farming, forestry, fisheries","D","-","D","-"
"Operators, fabricators, laborers","30.0","24.0","6.0","-"
"Precision production, craft, repair","D","8.0","D","-"
"Service","41.0","12.0","29.0","-"
"Military","D","D","-","-"
"No occupation","142.0","55.0","87.0","-"
"Unknown","583.0","231.0","350.0","2.0"
"","","","",""
"Top 20 states of permanent residence","","","",""
"California","185.0","71.0","114.0","-"
"Colorado","7.0","D","D","-"
"Connecticut","6.0","D","D","-"
"Florida","26.0","8.0","18.0","-"
"Illinois","17.0","10.0","7.0","-"
"Indiana","6.0","D","D","-"
"Kentucky","6.0","D","D","-"
"Maryland","17.0","11.0","6.0","-"
"Massachusetts","49.0","19.0","30.0","-"
"Michigan","20.0","7.0","13.0","-"
"Minnesota","5.0","D","D","-"
"Missouri","8.0","-","8.0","-"
"New Jersey","21.0","7.0","14.0","-"
"New York","323.0","130.0","193.0","-"
"Ohio","16.0","7.0","9.0","-"
"Pennsylvania","35.0","13.0","22.0","-"
"Texas","16.0","9.0","7.0","-"
"Utah","6.0","3.0","3.0","-"
"Virginia","9.0","D","D","-"
"Washington","62.0","27.0","35.0","-"
"Other","54.0","26.0","28.0","-"
"Unknown","10.0","6.0","2.0","2.0"
"","","","",""
"- Represents zero","","","",""
"D  Data withheld to limit disclosure.","","","",""
