"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Djibouti","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","18.0","6.0","12.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","7.0","D","D","-"
"25-34 years","D","D","D","-"
"35-44 years","6.0","D","D","-"
"45-54 years","D","D","D","-"
"55-64 years","-","-","-","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","D","D","D","-"
"Married","10.0","D","D","-"
"Other","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","-","-","-","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","-","-","-","-"
"Military","D","D","-","-"
"No occupation/not working outside home","D","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","3.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","D","-"
"Unknown","10.0","3.0","7.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"California","D","-","D","-"
"Georgia","D","-","D","-"
"Illinois","D","D","-","-"
"Maryland","D","D","D","-"
"Minnesota","6.0","D","D","-"
"Ohio","3.0","-","3.0","-"
"Pennsylvania","D","-","D","-"
"Texas","D","D","-","-"
"Virginia","D","-","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
