"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Libya","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","142.0","63.0","79.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","17.0","10.0","7.0","-"
"25-34 years","68.0","28.0","40.0","-"
"35-44 years","29.0","8.0","21.0","-"
"45-54 years","16.0","9.0","7.0","-"
"55-64 years","5.0","5.0","-","-"
"65 years and over","7.0","3.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","35.0","24.0","11.0","-"
"Married","97.0","34.0","63.0","-"
"Other","9.0","4.0","5.0","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","14.0","8.0","6.0","-"
"Service occupations","D","D","D","-"
"Sales and office occupations","8.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","30.0","9.0","21.0","-"
"Homemakers","D","-","D","-"
"Students or children","21.0","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","D","-","D","-"
"Unknown","87.0","41.0","46.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Alabama","D","D","-","-"
"Arizona","4.0","D","D","-"
"California","23.0","6.0","17.0","-"
"Florida","8.0","4.0","4.0","-"
"Georgia","D","D","-","-"
"Illinois","11.0","8.0","3.0","-"
"Indiana","D","D","D","-"
"Massachusetts","5.0","-","5.0","-"
"Michigan","7.0","-","7.0","-"
"New Jersey","3.0","D","D","-"
"New York","22.0","12.0","10.0","-"
"North Carolina","3.0","-","3.0","-"
"Ohio","4.0","D","D","-"
"Oklahoma","D","D","-","-"
"Pennsylvania","5.0","D","D","-"
"South Carolina","3.0","3.0","-","-"
"Texas","9.0","5.0","4.0","-"
"Virginia","7.0","D","D","-"
"Washington","7.0","3.0","4.0","-"
"Wisconsin","D","D","D","-"
"Other","11.0","4.0","7.0","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
