"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Madagascar","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","36.0","13.0","23.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","D","D","-"
"25-34 years","12.0","5.0","7.0","-"
"35-44 years","12.0","3.0","9.0","-"
"45-54 years","7.0","D","D","-"
"55-64 years","D","D","D","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","D","4.0","D","-"
"Married","29.0","9.0","20.0","-"
"Other","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","7.0","D","D","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","4.0","-","4.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","-","-","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","5.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","D","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","20.0","10.0","10.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"California","8.0","D","D","-"
"Colorado","D","-","D","-"
"District of Columbia","D","D","-","-"
"Florida","3.0","-","3.0","-"
"Maine","D","-","D","-"
"Maryland","3.0","D","D","-"
"Massachusetts","D","-","D","-"
"Minnesota","D","-","D","-"
"Mississippi","3.0","D","D","-"
"Montana","D","-","D","-"
"New Jersey","D","D","-","-"
"New York","8.0","D","D","-"
"Ohio","D","D","D","-"
"Texas","D","-","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
