"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Mauritania","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","106.0","90.0","16.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","-","D","-"
"25-34 years","18.0","D","D","-"
"35-44 years","51.0","43.0","8.0","-"
"45-54 years","26.0","22.0","4.0","-"
"55-64 years","D","D","D","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","11.0","D","D","-"
"Married","91.0","D","D","-"
"Other","3.0","D","D","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","8.0","8.0","-","-"
"Service occupations","4.0","D","D","-"
"Sales and office occupations","5.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","6.0","6.0","-","-"
"Military","D","D","-","-"
"No occupation/not working outside home","D","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","3.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","79.0","67.0","12.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","D","D","-","-"
"California","4.0","D","D","-"
"Colorado","D","D","-","-"
"Florida","3.0","3.0","-","-"
"Georgia","3.0","3.0","-","-"
"Illinois","3.0","3.0","-","-"
"Indiana","D","D","-","-"
"Kentucky","7.0","D","D","-"
"Maryland","6.0","D","D","-"
"Massachusetts","D","D","-","-"
"Michigan","3.0","D","D","-"
"Minnesota","D","D","-","-"
"Missouri","D","-","D","-"
"New Jersey","D","D","D","-"
"New York","26.0","23.0","3.0","-"
"Ohio","21.0","21.0","-","-"
"Pennsylvania","6.0","D","D","-"
"Tennessee","D","D","D","-"
"Texas","5.0","D","D","-"
"Virginia","D","D","D","-"
"Other","3.0","3.0","-","-"
"Unknown","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
