"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Tunisia","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","315.0","239.0","76.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","3.0","D","D","-"
"25-34 years","150.0","125.0","25.0","-"
"35-44 years","108.0","82.0","26.0","-"
"45-54 years","33.0","20.0","13.0","-"
"55-64 years","17.0","8.0","9.0","-"
"65 years and over","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","26.0","19.0","7.0","-"
"Married","257.0","197.0","60.0","-"
"Other","30.0","21.0","9.0","-"
"Unknown","2.0","2.0","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","45.0","40.0","5.0","-"
"Service occupations","15.0","D","D","-"
"Sales and office occupations","15.0","8.0","7.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","15.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","21.0","11.0","10.0","-"
"Homemakers","5.0","-","5.0","-"
"Students or children","11.0","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","D","D","D","-"
"Unknown","200.0","151.0","49.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"California","52.0","40.0","12.0","-"
"Colorado","7.0","D","D","-"
"District of Columbia","4.0","D","D","-"
"Florida","32.0","26.0","6.0","-"
"Georgia","5.0","D","D","-"
"Illinois","9.0","D","D","-"
"Indiana","5.0","5.0","-","-"
"Kansas","4.0","D","D","-"
"Maryland","15.0","10.0","5.0","-"
"Massachusetts","4.0","D","D","-"
"Michigan","13.0","10.0","3.0","-"
"Minnesota","6.0","D","D","-"
"New Jersey","12.0","9.0","3.0","-"
"New York","41.0","29.0","12.0","-"
"North Carolina","8.0","D","D","-"
"Ohio","7.0","D","D","-"
"Pennsylvania","24.0","D","D","-"
"Texas","5.0","D","D","-"
"Virginia","24.0","17.0","7.0","-"
"Washington","6.0","D","D","-"
"Other","30.0","22.0","8.0","-"
"Unknown","2.0","2.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
