"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Czechoslovakia (former)","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","614.0","207.0","406.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","24.0","8.0","16.0","-"
"25-34 years","254.0","76.0","178.0","-"
"35-44 years","152.0","48.0","104.0","-"
"45-54 years","77.0","29.0","48.0","-"
"55-64 years","68.0","29.0","39.0","-"
"65 years and over","39.0","17.0","21.0","1.0"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","55.0","33.0","22.0","-"
"Married","464.0","143.0","321.0","-"
"Other","92.0","30.0","62.0","-"
"Unknown","3.0","1.0","1.0","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","83.0","35.0","48.0","-"
"Service occupations","12.0","D","D","-"
"Sales and office occupations","26.0","4.0","22.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","9.0","9.0","-","-"
"Production, transportation, and material moving occupations","D","4.0","D","-"
"Military","D","D","D","-"
"No occupation/not working outside home","80.0","17.0","63.0","-"
"Homemakers","18.0","-","18.0","-"
"Students or children","49.0","11.0","38.0","-"
"Retirees","D","D","D","-"
"Unemployed","D","D","D","-"
"Unknown","397.0","133.0","263.0","1.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","11.0","5.0","6.0","-"
"California","86.0","27.0","59.0","-"
"Colorado","9.0","D","D","-"
"Florida","109.0","34.0","75.0","-"
"Georgia","20.0","7.0","13.0","-"
"Illinois","33.0","10.0","23.0","-"
"Maryland","10.0","4.0","6.0","-"
"Massachusetts","18.0","9.0","9.0","-"
"Michigan","9.0","4.0","5.0","-"
"Nevada","8.0","4.0","4.0","-"
"New Hampshire","8.0","4.0","4.0","-"
"New Jersey","44.0","17.0","27.0","-"
"New York","63.0","25.0","38.0","-"
"North Carolina","21.0","8.0","13.0","-"
"Ohio","13.0","6.0","7.0","-"
"Pennsylvania","17.0","6.0","11.0","-"
"South Carolina","7.0","D","D","-"
"Texas","17.0","4.0","13.0","-"
"Virginia","22.0","3.0","19.0","-"
"Washington","10.0","3.0","7.0","-"
"Other","76.0","22.0","54.0","-"
"Unknown","3.0","1.0","1.0","1.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
