"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: North America (Includes Caribbean and Central America)","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","223086.0","102178.0","120529.0","379.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","24481.0","9753.0","14697.0","31.0"
"25-34 years","62618.0","27193.0","35330.0","95.0"
"35-44 years","59732.0","28686.0","30956.0","90.0"
"45-54 years","32226.0","14802.0","17357.0","67.0"
"55-64 years","25238.0","12912.0","12264.0","62.0"
"65 years and over","18791.0","8832.0","9925.0","34.0"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","52541.0","23033.0","29508.0","-"
"Married","139315.0","68189.0","71126.0","-"
"Other","28454.0","9660.0","18794.0","-"
"Unknown","2776.0","1296.0","1101.0","379.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","12716.0","5830.0","6886.0","-"
"Service occupations","8746.0","3148.0","5598.0","-"
"Sales and office occupations","8003.0","2226.0","5777.0","-"
"Farming, fishing, and forestry occupations","439.0","395.0","44.0","-"
"Construction, extraction, maintenance and repair occupations","3379.0","3343.0","36.0","-"
"Production, transportation, and material moving occupations","12126.0","8937.0","3189.0","-"
"Military","3083.0","2389.0","694.0","-"
"No occupation/not working outside home","22881.0","7324.0","15557.0","-"
"Homemakers","4450.0","37.0","4413.0","-"
"Students or children","11667.0","3847.0","7820.0","-"
"Retirees","3370.0","2117.0","1253.0","-"
"Unemployed","3394.0","1323.0","2071.0","-"
"Unknown","151713.0","68586.0","82748.0","379.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","4760.0","2284.0","2476.0","-"
"California","51584.0","24898.0","26686.0","-"
"Colorado","1754.0","915.0","839.0","-"
"Connecticut","1686.0","709.0","977.0","-"
"Florida","51108.0","22259.0","28849.0","-"
"Georgia","4026.0","1868.0","2158.0","-"
"Illinois","8113.0","3844.0","4269.0","-"
"Indiana","985.0","492.0","493.0","-"
"Maryland","2698.0","1116.0","1582.0","-"
"Massachusetts","5837.0","2455.0","3382.0","-"
"Michigan","1144.0","518.0","626.0","-"
"Nevada","3228.0","1570.0","1658.0","-"
"New Jersey","8562.0","3680.0","4882.0","-"
"New York","31858.0","13327.0","18531.0","-"
"North Carolina","2966.0","1541.0","1425.0","-"
"Pennsylvania","2428.0","1065.0","1363.0","-"
"Texas","16332.0","7891.0","8441.0","-"
"U.S. Possessions","1622.0","707.0","915.0","-"
"Virginia","3320.0","1660.0","1660.0","-"
"Washington","2076.0","1002.0","1074.0","-"
"Other","14200.0","7073.0","7127.0","-"
"Unknown","2799.0","1304.0","1116.0","379.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
