"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Caribbean","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","90979.0","38932.0","51978.0","69.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","9428.0","3851.0","5570.0","7.0"
"25-34 years","24844.0","10198.0","14632.0","14.0"
"35-44 years","23090.0","10601.0","12472.0","17.0"
"45-54 years","14540.0","6345.0","8182.0","13.0"
"55-64 years","10131.0","4469.0","5649.0","13.0"
"65 years and over","8946.0","3468.0","5473.0","5.0"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","26290.0","10882.0","15408.0","-"
"Married","48546.0","22742.0","25804.0","-"
"Other","15431.0","4964.0","10467.0","-"
"Unknown","712.0","344.0","299.0","69.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","5217.0","2140.0","3077.0","-"
"Service occupations","3032.0","946.0","2086.0","-"
"Sales and office occupations","2556.0","875.0","1681.0","-"
"Farming, fishing, and forestry occupations","12.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","1035.0","D","D","-"
"Production, transportation, and material moving occupations","2730.0","2019.0","711.0","-"
"Military","1322.0","961.0","361.0","-"
"No occupation/not working outside home","9404.0","3156.0","6248.0","-"
"Homemakers","1066.0","12.0","1054.0","-"
"Students or children","5555.0","1954.0","3601.0","-"
"Retirees","1141.0","580.0","561.0","-"
"Unemployed","1642.0","610.0","1032.0","-"
"Unknown","65671.0","27798.0","37804.0","69.0"
"","","","",""
"Leading states of permanent residence","","","",""
"California","965.0","501.0","464.0","-"
"Connecticut","1288.0","513.0","775.0","-"
"Delaware","173.0","76.0","97.0","-"
"Florida","37957.0","16593.0","21364.0","-"
"Georgia","1857.0","766.0","1091.0","-"
"Illinois","420.0","189.0","231.0","-"
"Maryland","1217.0","450.0","767.0","-"
"Massachusetts","4685.0","1935.0","2750.0","-"
"Michigan","228.0","90.0","138.0","-"
"Nevada","322.0","158.0","164.0","-"
"New Hampshire","191.0","91.0","100.0","-"
"New Jersey","6308.0","2623.0","3685.0","-"
"New York","26485.0","10789.0","15696.0","-"
"North Carolina","730.0","391.0","339.0","-"
"Ohio","259.0","136.0","123.0","-"
"Pennsylvania","1625.0","697.0","928.0","-"
"Rhode Island","543.0","221.0","322.0","-"
"Texas","766.0","358.0","408.0","-"
"U.S. Possessions","1487.0","644.0","843.0","-"
"Virginia","738.0","374.0","364.0","-"
"Other","2008.0","987.0","1021.0","-"
"Unknown","727.0","350.0","308.0","69.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
