"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Denmark","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","199.0","80.0","119.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","-","-","-","-"
"25-34 years","42.0","22.0","20.0","-"
"35-44 years","52.0","24.0","28.0","-"
"45-54 years","33.0","15.0","18.0","-"
"55-64 years","40.0","9.0","31.0","-"
"65 years and over","32.0","10.0","22.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","16.0","9.0","7.0","-"
"Married","148.0","58.0","90.0","-"
"Other","34.0","13.0","21.0","-"
"Unknown","1.0","-","1.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","29.0","17.0","12.0","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","11.0","D","D","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","D","D","D","-"
"No occupation/not working outside home","21.0","4.0","17.0","-"
"Homemakers","6.0","-","6.0","-"
"Students or children","D","D","D","-"
"Retirees","9.0","D","D","-"
"Unemployed","D","D","D","-"
"Unknown","133.0","52.0","81.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","6.0","-","6.0","-"
"California","44.0","19.0","25.0","-"
"Colorado","8.0","3.0","5.0","-"
"Connecticut","D","D","D","-"
"Florida","30.0","13.0","17.0","-"
"Georgia","10.0","5.0","5.0","-"
"Hawaii","3.0","D","D","-"
"Illinois","D","D","-","-"
"Maryland","6.0","D","D","-"
"Massachusetts","4.0","D","D","-"
"Minnesota","3.0","D","D","-"
"Nevada","4.0","D","D","-"
"New Hampshire","D","D","D","-"
"New Jersey","10.0","5.0","5.0","-"
"New York","10.0","3.0","7.0","-"
"North Carolina","6.0","D","D","-"
"Texas","7.0","3.0","4.0","-"
"Utah","3.0","D","D","-"
"Virginia","10.0","3.0","7.0","-"
"Washington","9.0","D","D","-"
"Other","19.0","9.0","10.0","-"
"Unknown","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
