"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Honduras","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","4949.0","1926.0","3013.0","10.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","616.0","265.0","351.0","-"
"25-34 years","1509.0","605.0","902.0","2.0"
"35-44 years","1465.0","570.0","888.0","7.0"
"45-54 years","716.0","275.0","441.0","-"
"55-64 years","354.0","130.0","224.0","-"
"65 years and over","289.0","81.0","207.0","1.0"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1218.0","517.0","701.0","-"
"Married","2969.0","1174.0","1795.0","-"
"Other","696.0","207.0","489.0","-"
"Unknown","66.0","28.0","28.0","10.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","218.0","83.0","135.0","-"
"Service occupations","187.0","47.0","140.0","-"
"Sales and office occupations","184.0","35.0","149.0","-"
"Farming, fishing, and forestry occupations","5.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","62.0","62.0","-","-"
"Production, transportation, and material moving occupations","269.0","175.0","94.0","-"
"Military","88.0","D","D","-"
"No occupation/not working outside home","537.0","116.0","421.0","-"
"Homemakers","146.0","-","146.0","-"
"Students or children","265.0","79.0","186.0","-"
"Retirees","48.0","15.0","33.0","-"
"Unemployed","78.0","22.0","56.0","-"
"Unknown","3399.0","1335.0","2054.0","10.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","32.0","7.0","25.0","-"
"California","613.0","236.0","377.0","-"
"Colorado","23.0","9.0","14.0","-"
"Florida","1499.0","546.0","953.0","-"
"Georgia","96.0","40.0","56.0","-"
"Illinois","91.0","44.0","47.0","-"
"Louisiana","101.0","38.0","63.0","-"
"Maryland","81.0","33.0","48.0","-"
"Massachusetts","136.0","50.0","86.0","-"
"Missouri","24.0","9.0","15.0","-"
"Nevada","41.0","15.0","26.0","-"
"New Jersey","321.0","122.0","199.0","-"
"New York","737.0","314.0","423.0","-"
"North Carolina","139.0","59.0","80.0","-"
"Ohio","24.0","10.0","14.0","-"
"Pennsylvania","55.0","22.0","33.0","-"
"South Carolina","27.0","10.0","17.0","-"
"Texas","359.0","130.0","229.0","-"
"Virginia","138.0","70.0","68.0","-"
"Washington","38.0","18.0","20.0","-"
"Other","308.0","116.0","192.0","-"
"Unknown","66.0","28.0","28.0","10.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
