"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Bolivia","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1630.0","749.0","878.0","3.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","202.0","109.0","92.0","1.0"
"25-34 years","412.0","176.0","236.0","-"
"35-44 years","478.0","225.0","252.0","1.0"
"45-54 years","302.0","136.0","166.0","-"
"55-64 years","151.0","78.0","73.0","-"
"65 years and over","85.0","25.0","59.0","1.0"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","400.0","198.0","202.0","-"
"Married","1003.0","455.0","548.0","-"
"Other","207.0","86.0","121.0","-"
"Unknown","20.0","10.0","7.0","3.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","120.0","63.0","57.0","-"
"Service occupations","33.0","8.0","25.0","-"
"Sales and office occupations","46.0","21.0","25.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","23.0","23.0","-","-"
"Production, transportation, and material moving occupations","30.0","22.0","8.0","-"
"Military","23.0","20.0","3.0","-"
"No occupation/not working outside home","151.0","56.0","95.0","-"
"Homemakers","20.0","-","20.0","-"
"Students or children","111.0","50.0","61.0","-"
"Retirees","9.0","D","D","-"
"Unemployed","11.0","D","D","-"
"Unknown","1204.0","536.0","665.0","3.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","12.0","7.0","5.0","-"
"California","164.0","67.0","97.0","-"
"Connecticut","7.0","D","D","-"
"Florida","220.0","91.0","129.0","-"
"Georgia","16.0","8.0","8.0","-"
"Illinois","31.0","14.0","17.0","-"
"Indiana","8.0","5.0","3.0","-"
"Maryland","132.0","57.0","75.0","-"
"Massachusetts","21.0","7.0","14.0","-"
"New Jersey","41.0","15.0","26.0","-"
"New Mexico","7.0","3.0","4.0","-"
"New York","130.0","63.0","67.0","-"
"North Carolina","17.0","9.0","8.0","-"
"Pennsylvania","13.0","5.0","8.0","-"
"Rhode Island","28.0","13.0","15.0","-"
"Texas","57.0","19.0","38.0","-"
"U.S. Possessions","7.0","D","D","-"
"Utah","11.0","5.0","6.0","-"
"Virginia","601.0","316.0","285.0","-"
"Washington","7.0","-","7.0","-"
"Other","79.0","32.0","47.0","-"
"Unknown","21.0","10.0","8.0","3.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
