"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Romania","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","5484.0","2403.0","3078.0","3.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","449.0","201.0","247.0","1.0"
"25-34 years","1717.0","663.0","1054.0","-"
"35-44 years","1843.0","845.0","998.0","-"
"45-54 years","880.0","414.0","465.0","1.0"
"55-64 years","367.0","173.0","193.0","1.0"
"65 years and over","228.0","107.0","121.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","808.0","407.0","401.0","-"
"Married","3986.0","1730.0","2256.0","-"
"Other","630.0","241.0","389.0","-"
"Unknown","60.0","25.0","32.0","3.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","733.0","360.0","373.0","-"
"Service occupations","158.0","37.0","121.0","-"
"Sales and office occupations","183.0","53.0","130.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","122.0","119.0","3.0","-"
"Production, transportation, and material moving occupations","173.0","134.0","39.0","-"
"Military","23.0","18.0","5.0","-"
"No occupation/not working outside home","598.0","183.0","415.0","-"
"Homemakers","73.0","D","D","-"
"Students or children","443.0","155.0","288.0","-"
"Retirees","35.0","16.0","19.0","-"
"Unemployed","47.0","D","D","-"
"Unknown","3494.0","1499.0","1992.0","3.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","187.0","81.0","106.0","-"
"California","681.0","304.0","377.0","-"
"Colorado","45.0","19.0","26.0","-"
"Connecticut","64.0","29.0","35.0","-"
"Florida","464.0","209.0","255.0","-"
"Georgia","288.0","130.0","158.0","-"
"Illinois","518.0","224.0","294.0","-"
"Maryland","77.0","31.0","46.0","-"
"Massachusetts","66.0","30.0","36.0","-"
"Michigan","521.0","233.0","288.0","-"
"Nevada","72.0","31.0","41.0","-"
"New Jersey","166.0","78.0","88.0","-"
"New York","755.0","323.0","432.0","-"
"North Carolina","93.0","34.0","59.0","-"
"Ohio","280.0","128.0","152.0","-"
"Oregon","137.0","65.0","72.0","-"
"Pennsylvania","169.0","75.0","94.0","-"
"Texas","192.0","81.0","111.0","-"
"Virginia","71.0","24.0","47.0","-"
"Washington","216.0","97.0","119.0","-"
"Other","362.0","152.0","210.0","-"
"Unknown","60.0","25.0","32.0","3.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
