"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Spain","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1465.0","662.0","802.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","47.0","25.0","22.0","-"
"25-34 years","293.0","121.0","172.0","-"
"35-44 years","448.0","193.0","255.0","-"
"45-54 years","272.0","119.0","153.0","-"
"55-64 years","255.0","130.0","124.0","1.0"
"65 years and over","150.0","74.0","76.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","199.0","113.0","86.0","-"
"Married","1040.0","476.0","564.0","-"
"Other","211.0","70.0","141.0","-"
"Unknown","15.0","3.0","11.0","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","224.0","114.0","110.0","-"
"Service occupations","23.0","12.0","11.0","-"
"Sales and office occupations","31.0","12.0","19.0","-"
"Farming, fishing, and forestry occupations","D","-","D","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","31.0","27.0","4.0","-"
"Military","5.0","D","D","-"
"No occupation/not working outside home","149.0","55.0","94.0","-"
"Homemakers","37.0","D","D","-"
"Students or children","62.0","22.0","40.0","-"
"Retirees","39.0","25.0","14.0","-"
"Unemployed","11.0","D","D","-"
"Unknown","996.0","434.0","561.0","1.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","19.0","11.0","8.0","-"
"California","197.0","74.0","123.0","-"
"Colorado","18.0","7.0","11.0","-"
"Connecticut","16.0","6.0","10.0","-"
"Florida","341.0","165.0","176.0","-"
"Georgia","29.0","15.0","14.0","-"
"Illinois","31.0","16.0","15.0","-"
"Maryland","34.0","6.0","28.0","-"
"Massachusetts","38.0","16.0","22.0","-"
"Michigan","14.0","6.0","8.0","-"
"Minnesota","15.0","7.0","8.0","-"
"New Jersey","157.0","84.0","73.0","-"
"New York","216.0","115.0","101.0","-"
"North Carolina","25.0","12.0","13.0","-"
"Ohio","11.0","6.0","5.0","-"
"Pennsylvania","23.0","8.0","15.0","-"
"Texas","50.0","17.0","33.0","-"
"U.S. Possessions","35.0","17.0","18.0","-"
"Virginia","50.0","20.0","30.0","-"
"Washington","14.0","5.0","9.0","-"
"Other","116.0","46.0","70.0","-"
"Unknown","16.0","3.0","12.0","1.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
