"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Oman","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","23.0","16.0","7.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","12.0","D","D","-"
"25-34 years","7.0","4.0","3.0","-"
"35-44 years","D","D","D","-"
"45-54 years","-","-","-","-"
"55-64 years","-","-","-","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","13.0","9.0","4.0","-"
"Married","9.0","6.0","3.0","-"
"Other","-","-","-","-"
"Unknown","1.0","1.0","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","D","D","D","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","-","-","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","6.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","6.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","12.0","9.0","3.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"California","3.0","D","D","-"
"Connecticut","D","-","D","-"
"Florida","D","-","D","-"
"Georgia","D","-","D","-"
"Illinois","D","D","-","-"
"Michigan","D","D","-","-"
"New Jersey","3.0","D","D","-"
"Ohio","3.0","D","D","-"
"South Dakota","D","D","-","-"
"Texas","3.0","3.0","-","-"
"Virginia","D","D","-","-"
"Washington","D","D","-","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
