"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Qatar","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","59.0","29.0","30.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","20.0","10.0","10.0","-"
"25-34 years","27.0","15.0","12.0","-"
"35-44 years","12.0","4.0","8.0","-"
"45-54 years","-","-","-","-"
"55-64 years","-","-","-","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","26.0","D","D","-"
"Married","30.0","D","D","-"
"Other","3.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","9.0","D","D","-"
"Service occupations","D","D","-","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","-","-","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","16.0","6.0","10.0","-"
"Homemakers","D","-","D","-"
"Students or children","10.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","D","-"
"Unknown","24.0","7.0","17.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","D","D","-","-"
"California","6.0","D","D","-"
"Florida","10.0","5.0","5.0","-"
"Georgia","3.0","D","D","-"
"Illinois","3.0","D","D","-"
"Kansas","D","D","-","-"
"Kentucky","D","-","D","-"
"Massachusetts","D","D","-","-"
"Michigan","5.0","D","D","-"
"Minnesota","D","-","D","-"
"Missouri","4.0","D","D","-"
"New Jersey","D","-","D","-"
"New York","10.0","4.0","6.0","-"
"North Carolina","D","D","D","-"
"Ohio","D","-","D","-"
"Pennsylvania","3.0","D","D","-"
"Texas","D","-","D","-"
"Virginia","D","D","-","-"
"Washington","D","D","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
