"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Sri Lanka","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1023.0","506.0","517.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","72.0","34.0","38.0","-"
"25-34 years","195.0","94.0","101.0","-"
"35-44 years","328.0","156.0","172.0","-"
"45-54 years","226.0","120.0","106.0","-"
"55-64 years","121.0","58.0","63.0","-"
"65 years and over","81.0","44.0","37.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","169.0","105.0","64.0","-"
"Married","746.0","371.0","375.0","-"
"Other","96.0","24.0","72.0","-"
"Unknown","12.0","6.0","6.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","161.0","96.0","65.0","-"
"Service occupations","27.0","D","D","-"
"Sales and office occupations","28.0","15.0","13.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","7.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","109.0","40.0","69.0","-"
"Homemakers","14.0","D","D","-"
"Students or children","76.0","32.0","44.0","-"
"Retirees","5.0","D","D","-"
"Unemployed","14.0","5.0","9.0","-"
"Unknown","685.0","328.0","357.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","11.0","7.0","4.0","-"
"California","262.0","129.0","133.0","-"
"Colorado","9.0","4.0","5.0","-"
"Connecticut","10.0","5.0","5.0","-"
"Florida","33.0","19.0","14.0","-"
"Georgia","17.0","10.0","7.0","-"
"Illinois","18.0","11.0","7.0","-"
"Maryland","93.0","40.0","53.0","-"
"Massachusetts","32.0","19.0","13.0","-"
"Minnesota","25.0","10.0","15.0","-"
"Nevada","15.0","9.0","6.0","-"
"New Jersey","59.0","28.0","31.0","-"
"New York","144.0","75.0","69.0","-"
"North Carolina","21.0","8.0","13.0","-"
"Ohio","15.0","5.0","10.0","-"
"Oregon","14.0","8.0","6.0","-"
"Pennsylvania","35.0","16.0","19.0","-"
"Texas","60.0","30.0","30.0","-"
"Virginia","37.0","16.0","21.0","-"
"Washington","11.0","6.0","5.0","-"
"Other","90.0","45.0","45.0","-"
"Unknown","12.0","6.0","6.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
