"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Botswana","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","17.0","6.0","11.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","D","-","-"
"25-34 years","9.0","D","D","-"
"35-44 years","4.0","D","D","-"
"45-54 years","D","D","D","-"
"55-64 years","-","-","-","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","D","D","D","-"
"Married","9.0","D","D","-"
"Other","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","D","D","4.0","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","-","-","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","-","-","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","D","D","-","-"
"Homemakers","-","-","-","-"
"Students or children","D","D","-","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","9.0","2.0","7.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"California","D","D","-","-"
"Florida","D","-","D","-"
"Georgia","D","D","-","-"
"Maryland","D","-","D","-"
"Massachusetts","D","-","D","-"
"Michigan","D","-","D","-"
"Missouri","D","-","D","-"
"New Jersey","D","D","-","-"
"Ohio","D","-","D","-"
"Pennsylvania","3.0","D","D","-"
"Texas","D","D","-","-"
"Washington","D","-","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
