"Persons Naturalized During Fiscal Year 2006","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Cape Verde","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1126.0","449.0","676.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","151.0","50.0","101.0","-"
"25-34 years","264.0","100.0","164.0","-"
"35-44 years","237.0","112.0","125.0","-"
"45-54 years","186.0","88.0","97.0","1.0"
"55-64 years","116.0","38.0","78.0","-"
"65 years and over","172.0","61.0","111.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","381.0","141.0","240.0","-"
"Married","567.0","249.0","318.0","-"
"Other","174.0","58.0","116.0","-"
"Unknown","4.0","1.0","2.0","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","27.0","14.0","13.0","-"
"Service occupations","26.0","8.0","18.0","-"
"Sales and office occupations","15.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","9.0","9.0","-","-"
"Production, transportation, and material moving occupations","140.0","74.0","66.0","-"
"Military","11.0","D","D","-"
"No occupation/not working outside home","102.0","38.0","64.0","-"
"Homemakers","3.0","-","3.0","-"
"Students or children","53.0","21.0","32.0","-"
"Retirees","18.0","6.0","12.0","-"
"Unemployed","28.0","11.0","17.0","-"
"Unknown","796.0","293.0","502.0","1.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","D","D","-","-"
"California","7.0","D","D","-"
"Connecticut","19.0","5.0","14.0","-"
"Delaware","D","D","-","-"
"Florida","27.0","11.0","16.0","-"
"Georgia","6.0","D","D","-"
"Hawaii","D","D","D","-"
"Maryland","D","D","D","-"
"Massachusetts","835.0","324.0","511.0","-"
"New Jersey","14.0","4.0","10.0","-"
"New York","8.0","4.0","4.0","-"
"North Carolina","3.0","D","D","-"
"Pennsylvania","3.0","3.0","-","-"
"Rhode Island","188.0","83.0","105.0","-"
"Texas","D","D","D","-"
"Utah","D","-","D","-"
"Washington","D","-","D","-"
"Unknown","6.0","1.0","4.0","1.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
