"Persons Naturalized During Fiscal Year 2007","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Libya","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","136.0","70.0","65.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","14.0","7.0","7.0","-"
"25-34 years","54.0","31.0","23.0","-"
"35-44 years","36.0","13.0","23.0","-"
"45-54 years","21.0","13.0","7.0","1.0"
"55-64 years","5.0","D","D","-"
"65 years and over","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","27.0","20.0","7.0","-"
"Married","95.0","43.0","52.0","-"
"Other","13.0","7.0","6.0","-"
"Unknown","1.0","-","-","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","20.0","16.0","4.0","-"
"Service occupations","5.0","D","D","-"
"Sales and office occupations","D","3.0","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","27.0","9.0","18.0","-"
"Homemakers","D","-","D","-"
"Students or children","19.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","78.0","37.0","40.0","1.0"
"","","","",""
"Leading states of permanent residence","","","",""
"California","24.0","11.0","13.0","-"
"Colorado","4.0","D","D","-"
"Florida","9.0","5.0","4.0","-"
"Georgia","4.0","D","D","-"
"Illinois","14.0","9.0","5.0","-"
"Kentucky","D","D","D","-"
"Louisiana","4.0","D","D","-"
"Massachusetts","5.0","D","D","-"
"Michigan","5.0","D","D","-"
"Minnesota","3.0","D","D","-"
"New Jersey","3.0","3.0","-","-"
"New York","10.0","4.0","6.0","-"
"North Carolina","3.0","D","D","-"
"Ohio","4.0","D","D","-"
"Oklahoma","3.0","D","D","-"
"Pennsylvania","D","D","D","-"
"Tennessee","D","-","D","-"
"Texas","8.0","D","D","-"
"Virginia","5.0","D","D","-"
"Washington","9.0","3.0","6.0","-"
"Other","12.0","6.0","6.0","-"
"Unknown","1.0","-","-","1.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
