"Persons Naturalized During Fiscal Year 2007","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Slovak Republic","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","380.0","152.0","228.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","31.0","13.0","18.0","-"
"25-34 years","161.0","52.0","109.0","-"
"35-44 years","113.0","54.0","59.0","-"
"45-54 years","49.0","21.0","28.0","-"
"55-64 years","17.0","D","D","-"
"65 years and over","9.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","63.0","36.0","27.0","-"
"Married","270.0","96.0","174.0","-"
"Other","43.0","17.0","26.0","-"
"Unknown","4.0","3.0","1.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","38.0","14.0","24.0","-"
"Service occupations","15.0","D","D","-"
"Sales and office occupations","14.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","8.0","8.0","-","-"
"Production, transportation, and material moving occupations","D","5.0","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","48.0","10.0","38.0","-"
"Homemakers","10.0","D","D","-"
"Students or children","35.0","D","D","-"
"Retirees","D","-","D","-"
"Unemployed","D","-","D","-"
"Unknown","248.0","107.0","141.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","4.0","D","D","-"
"California","38.0","13.0","25.0","-"
"Colorado","11.0","4.0","7.0","-"
"Connecticut","4.0","D","D","-"
"Florida","27.0","11.0","16.0","-"
"Georgia","7.0","3.0","4.0","-"
"Illinois","50.0","23.0","27.0","-"
"Maryland","4.0","-","4.0","-"
"Michigan","4.0","D","D","-"
"Nevada","3.0","D","D","-"
"New Hampshire","4.0","D","D","-"
"New Jersey","74.0","29.0","45.0","-"
"New York","76.0","35.0","41.0","-"
"Ohio","8.0","3.0","5.0","-"
"Pennsylvania","6.0","D","D","-"
"South Carolina","4.0","D","D","-"
"Texas","11.0","4.0","7.0","-"
"Virginia","7.0","3.0","4.0","-"
"Washington","8.0","D","D","-"
"Wisconsin","7.0","D","D","-"
"Other","19.0","6.0","13.0","-"
"Unknown","4.0","3.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
