"Persons Naturalized During Fiscal Year 2007","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Indonesia","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1213.0","441.0","771.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","72.0","41.0","31.0","-"
"25-34 years","359.0","126.0","233.0","-"
"35-44 years","425.0","136.0","288.0","1.0"
"45-54 years","176.0","66.0","110.0","-"
"55-64 years","97.0","40.0","57.0","-"
"65 years and over","84.0","32.0","52.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","210.0","116.0","94.0","-"
"Married","892.0","295.0","597.0","-"
"Other","93.0","22.0","71.0","-"
"Unknown","18.0","8.0","9.0","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","186.0","92.0","94.0","-"
"Service occupations","37.0","6.0","31.0","-"
"Sales and office occupations","64.0","17.0","47.0","-"
"Farming, fishing, and forestry occupations","D","-","D","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","12.0","D","D","-"
"Military","6.0","6.0","-","-"
"No occupation/not working outside home","142.0","54.0","88.0","-"
"Homemakers","32.0","-","32.0","-"
"Students or children","80.0","39.0","41.0","-"
"Retirees","24.0","D","D","-"
"Unemployed","6.0","D","D","-"
"Unknown","762.0","257.0","504.0","1.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","13.0","3.0","10.0","-"
"California","558.0","214.0","344.0","-"
"Colorado","24.0","5.0","19.0","-"
"Florida","28.0","7.0","21.0","-"
"Georgia","26.0","7.0","19.0","-"
"Hawaii","16.0","3.0","13.0","-"
"Illinois","23.0","9.0","14.0","-"
"Maryland","26.0","6.0","20.0","-"
"Massachusetts","18.0","6.0","12.0","-"
"Nevada","14.0","4.0","10.0","-"
"New Hampshire","11.0","4.0","7.0","-"
"New Jersey","26.0","13.0","13.0","-"
"New York","66.0","30.0","36.0","-"
"Ohio","19.0","7.0","12.0","-"
"Oregon","17.0","11.0","6.0","-"
"Pennsylvania","18.0","10.0","8.0","-"
"Texas","88.0","30.0","58.0","-"
"Virginia","40.0","16.0","24.0","-"
"Washington","47.0","17.0","30.0","-"
"Wisconsin","12.0","3.0","9.0","-"
"Other","105.0","28.0","77.0","-"
"Unknown","18.0","8.0","9.0","1.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
