"Persons Naturalized During Fiscal Year 2007","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Taiwan","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","7486.0","3060.0","4425.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","877.0","471.0","405.0","1.0"
"25-34 years","1345.0","481.0","864.0","-"
"35-44 years","2809.0","1112.0","1697.0","-"
"45-54 years","1462.0","575.0","887.0","-"
"55-64 years","647.0","283.0","364.0","-"
"65 years and over","346.0","138.0","208.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","2032.0","1027.0","1005.0","-"
"Married","4907.0","1873.0","3034.0","-"
"Other","498.0","141.0","357.0","-"
"Unknown","49.0","19.0","29.0","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","1363.0","755.0","608.0","-"
"Service occupations","137.0","47.0","90.0","-"
"Sales and office occupations","318.0","99.0","219.0","-"
"Farming, fishing, and forestry occupations","D","D","D","-"
"Construction, extraction, maintenance and repair occupations","D","D","D","-"
"Production, transportation, and material moving occupations","41.0","D","D","-"
"Military","11.0","D","D","-"
"No occupation/not working outside home","1331.0","536.0","795.0","-"
"Homemakers","195.0","D","D","-"
"Students or children","1004.0","470.0","534.0","-"
"Retirees","84.0","50.0","34.0","-"
"Unemployed","48.0","D","D","-"
"Unknown","4273.0","1581.0","2691.0","1.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","71.0","28.0","43.0","-"
"California","3992.0","1657.0","2335.0","-"
"Colorado","58.0","23.0","35.0","-"
"Florida","110.0","33.0","77.0","-"
"Georgia","111.0","56.0","55.0","-"
"Hawaii","50.0","15.0","35.0","-"
"Illinois","211.0","93.0","118.0","-"
"Maryland","141.0","61.0","80.0","-"
"Massachusetts","120.0","47.0","73.0","-"
"Michigan","101.0","41.0","60.0","-"
"Missouri","73.0","30.0","43.0","-"
"Nevada","52.0","19.0","33.0","-"
"New Jersey","379.0","158.0","221.0","-"
"New York","481.0","193.0","288.0","-"
"North Carolina","47.0","22.0","25.0","-"
"Ohio","106.0","44.0","62.0","-"
"Pennsylvania","85.0","37.0","48.0","-"
"Texas","541.0","218.0","323.0","-"
"Virginia","105.0","42.0","63.0","-"
"Washington","195.0","77.0","118.0","-"
"Other","408.0","147.0","261.0","-"
"Unknown","49.0","19.0","29.0","1.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
