"Persons Naturalized During Fiscal Year 2007","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Angola","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","105.0","52.0","53.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","8.0","3.0","5.0","-"
"25-34 years","28.0","14.0","14.0","-"
"35-44 years","55.0","27.0","28.0","-"
"45-54 years","9.0","D","D","-"
"55-64 years","D","D","-","-"
"65 years and over","D","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","21.0","11.0","10.0","-"
"Married","67.0","32.0","35.0","-"
"Other","14.0","6.0","8.0","-"
"Unknown","3.0","3.0","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","4.0","D","D","-"
"Service occupations","D","D","D","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","6.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","5.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","D","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","86.0","42.0","44.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","D","-","D","-"
"California","11.0","4.0","7.0","-"
"Connecticut","D","-","D","-"
"District of Columbia","D","D","-","-"
"Florida","D","D","-","-"
"Massachusetts","43.0","22.0","21.0","-"
"Michigan","D","D","-","-"
"Missouri","D","D","-","-"
"New Hampshire","D","-","D","-"
"New Jersey","13.0","8.0","5.0","-"
"New York","4.0","-","4.0","-"
"North Carolina","D","-","D","-"
"Ohio","D","-","D","-"
"Pennsylvania","3.0","D","D","-"
"Rhode Island","8.0","4.0","4.0","-"
"South Carolina","D","-","D","-"
"Tennessee","D","D","-","-"
"Texas","D","-","D","-"
"U.S. Possessions","D","D","-","-"
"Utah","D","-","D","-"
"Other","2.0","1.0","1.0","-"
"Unknown","3.0","3.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
