"Persons Naturalized During Fiscal Year 2007","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Burkina Faso","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","37.0","23.0","14.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","-","D","-"
"25-34 years","7.0","D","D","-"
"35-44 years","17.0","13.0","4.0","-"
"45-54 years","8.0","5.0","3.0","-"
"55-64 years","D","D","D","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","D","D","D","-"
"Married","26.0","D","D","-"
"Other","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","D","D","D","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","-","-","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","5.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","D","D","D","-"
"Homemakers","D","D","-","-"
"Students or children","D","-","D","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","27.0","17.0","10.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Alabama","D","-","D","-"
"California","D","D","D","-"
"Colorado","D","-","D","-"
"District of Columbia","D","D","-","-"
"Georgia","D","D","D","-"
"Hawaii","D","-","D","-"
"Kentucky","D","D","-","-"
"Maryland","5.0","D","D","-"
"New Jersey","D","D","-","-"
"New York","6.0","D","D","-"
"North Carolina","D","D","-","-"
"Ohio","4.0","D","D","-"
"Pennsylvania","5.0","D","D","-"
"Texas","D","D","-","-"
"Virginia","3.0","D","D","-"
"West Virginia","D","D","-","-"
"Wisconsin","D","D","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
