"Persons Naturalized During Fiscal Year 2008","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Kyrgyzstan","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","361.0","128.0","233.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","55.0","20.0","35.0","-"
"25-34 years","118.0","45.0","73.0","-"
"35-44 years","98.0","25.0","73.0","-"
"45-54 years","60.0","27.0","33.0","-"
"55-64 years","15.0","5.0","10.0","-"
"65 years and over","15.0","6.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","58.0","31.0","27.0","-"
"Married","272.0","90.0","182.0","-"
"Other","29.0","6.0","23.0","-"
"Unknown","2.0","1.0","1.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","30.0","14.0","16.0","-"
"Service occupations","18.0","D","D","-"
"Sales and office occupations","16.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","6.0","6.0","-","-"
"Production, transportation, and material moving occupations","23.0","18.0","5.0","-"
"Military","3.0","3.0","-","-"
"No occupation/not working outside home","42.0","8.0","34.0","-"
"Homemakers","6.0","-","6.0","-"
"Students or children","33.0","8.0","25.0","-"
"Retirees","-","-","-","-"
"Unemployed","3.0","-","3.0","-"
"Unknown","223.0","74.0","149.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","D","D","D","-"
"California","48.0","16.0","32.0","-"
"Colorado","6.0","D","D","-"
"Connecticut","D","-","D","-"
"Florida","15.0","4.0","11.0","-"
"Georgia","5.0","D","D","-"
"Illinois","7.0","3.0","4.0","-"
"Maryland","8.0","4.0","4.0","-"
"Massachusetts","23.0","8.0","15.0","-"
"Michigan","4.0","D","D","-"
"Minnesota","5.0","D","D","-"
"New Jersey","13.0","7.0","6.0","-"
"New York","39.0","10.0","29.0","-"
"Ohio","3.0","D","D","-"
"Oregon","28.0","8.0","20.0","-"
"Pennsylvania","10.0","5.0","5.0","-"
"Texas","6.0","-","6.0","-"
"Virginia","8.0","D","D","-"
"Washington","86.0","39.0","47.0","-"
"Other","40.0","13.0","27.0","-"
"Unknown","2.0","1.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
