"Persons Naturalized During Fiscal Year 2008","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Norway","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","153.0","74.0","79.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","6.0","D","D","-"
"25-34 years","24.0","12.0","12.0","-"
"35-44 years","36.0","27.0","9.0","-"
"45-54 years","31.0","15.0","16.0","-"
"55-64 years","34.0","10.0","24.0","-"
"65 years and over","22.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","19.0","11.0","8.0","-"
"Married","112.0","53.0","59.0","-"
"Other","22.0","10.0","12.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","24.0","13.0","11.0","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","6.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","D","D","-","-"
"No occupation/not working outside home","14.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","8.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","-","-","-","-"
"Unknown","104.0","55.0","49.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","4.0","D","D","-"
"California","22.0","10.0","12.0","-"
"Colorado","4.0","D","D","-"
"Connecticut","D","D","-","-"
"Florida","25.0","12.0","13.0","-"
"Georgia","3.0","3.0","-","-"
"Illinois","4.0","D","D","-"
"Maryland","D","-","D","-"
"Massachusetts","D","D","-","-"
"Michigan","D","-","D","-"
"Nevada","6.0","D","D","-"
"New Jersey","10.0","6.0","4.0","-"
"New York","8.0","3.0","5.0","-"
"Ohio","D","-","D","-"
"Oregon","D","-","D","-"
"Pennsylvania","D","-","D","-"
"Texas","14.0","7.0","7.0","-"
"Virginia","8.0","D","D","-"
"Washington","11.0","D","D","-"
"Other","25.0","15.0","10.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
