"Persons Naturalized During Fiscal Year 2008","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: United Kingdom","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","12095.0","6027.0","6062.0","6.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","570.0","301.0","268.0","1.0"
"25-34 years","1426.0","673.0","753.0","-"
"35-44 years","3832.0","1902.0","1927.0","3.0"
"45-54 years","3212.0","1651.0","1559.0","2.0"
"55-64 years","2067.0","1044.0","1023.0","-"
"65 years and over","988.0","456.0","532.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1686.0","876.0","810.0","-"
"Married","8921.0","4550.0","4371.0","-"
"Other","1431.0","569.0","862.0","-"
"Unknown","57.0","32.0","19.0","6.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","2492.0","1466.0","1026.0","-"
"Service occupations","138.0","38.0","100.0","-"
"Sales and office occupations","483.0","181.0","302.0","-"
"Farming, fishing, and forestry occupations","4.0","-","4.0","-"
"Construction, extraction, maintenance and repair occupations","67.0","64.0","3.0","-"
"Production, transportation, and material moving occupations","69.0","58.0","11.0","-"
"Military","66.0","52.0","14.0","-"
"No occupation/not working outside home","1048.0","404.0","644.0","-"
"Homemakers","255.0","5.0","250.0","-"
"Students or children","495.0","249.0","246.0","-"
"Retirees","251.0","131.0","120.0","-"
"Unemployed","47.0","19.0","28.0","-"
"Unknown","7728.0","3764.0","3958.0","6.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","322.0","132.0","190.0","-"
"California","2467.0","1290.0","1177.0","-"
"Colorado","323.0","169.0","154.0","-"
"Connecticut","200.0","85.0","115.0","-"
"Florida","1511.0","714.0","797.0","-"
"Georgia","392.0","189.0","203.0","-"
"Illinois","332.0","168.0","164.0","-"
"Maryland","326.0","147.0","179.0","-"
"Massachusetts","425.0","225.0","200.0","-"
"Michigan","275.0","146.0","129.0","-"
"Nevada","114.0","43.0","71.0","-"
"New Jersey","540.0","287.0","253.0","-"
"New York","842.0","413.0","429.0","-"
"Ohio","206.0","102.0","104.0","-"
"Oregon","183.0","83.0","100.0","-"
"Pennsylvania","336.0","182.0","154.0","-"
"Texas","867.0","450.0","417.0","-"
"Virginia","472.0","211.0","261.0","-"
"Washington","308.0","158.0","150.0","-"
"Other","1597.0","801.0","796.0","-"
"Unknown","57.0","32.0","19.0","6.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
