"Persons Naturalized During Fiscal Year 2008","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Aruba","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","55.0","29.0","26.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","D","D","-","-"
"25-34 years","D","D","D","-"
"35-44 years","14.0","9.0","5.0","-"
"45-54 years","14.0","9.0","5.0","-"
"55-64 years","16.0","7.0","9.0","-"
"65 years and over","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","7.0","3.0","4.0","-"
"Married","36.0","22.0","14.0","-"
"Other","12.0","4.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","9.0","D","D","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","D","D","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","D","D","-","-"
"No occupation/not working outside home","D","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","-","D","-"
"Retirees","D","D","-","-"
"Unemployed","-","-","-","-"
"Unknown","39.0","19.0","20.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"California","D","-","D","-"
"Connecticut","D","D","-","-"
"Florida","15.0","9.0","6.0","-"
"Georgia","4.0","D","D","-"
"Maryland","D","D","-","-"
"Michigan","D","D","-","-"
"New Jersey","D","D","D","-"
"New York","15.0","6.0","9.0","-"
"Texas","7.0","3.0","4.0","-"
"Virginia","D","-","D","-"
"Washington","D","-","D","-"
"Other","6.0","D","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
