"Persons Naturalized During Fiscal Year 2008","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Africa","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","54420.0","28448.0","25958.0","14.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","4336.0","1996.0","2339.0","1.0"
"25-34 years","16797.0","8313.0","8484.0","-"
"35-44 years","17989.0","9725.0","8259.0","5.0"
"45-54 years","9704.0","5541.0","4159.0","4.0"
"55-64 years","3707.0","2011.0","1694.0","2.0"
"65 years and over","1887.0","862.0","1023.0","2.0"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","13138.0","7551.0","5587.0","-"
"Married","33041.0","17183.0","15858.0","-"
"Other","7824.0","3482.0","4342.0","-"
"Unknown","417.0","232.0","171.0","14.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","5185.0","2908.0","2277.0","-"
"Service occupations","1945.0","710.0","1235.0","-"
"Sales and office occupations","1529.0","711.0","818.0","-"
"Farming, fishing, and forestry occupations","11.0","11.0","-","-"
"Construction, extraction, maintenance and repair occupations","176.0","172.0","4.0","-"
"Production, transportation, and material moving occupations","2119.0","1763.0","356.0","-"
"Military","615.0","542.0","73.0","-"
"No occupation/not working outside home","5000.0","2077.0","2923.0","-"
"Homemakers","462.0","7.0","455.0","-"
"Students or children","3987.0","1844.0","2143.0","-"
"Retirees","199.0","108.0","91.0","-"
"Unemployed","352.0","118.0","234.0","-"
"Unknown","37840.0","19554.0","18272.0","14.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","790.0","467.0","323.0","-"
"California","4968.0","2468.0","2500.0","-"
"Colorado","989.0","544.0","445.0","-"
"Florida","2114.0","1151.0","963.0","-"
"Georgia","2787.0","1486.0","1301.0","-"
"Illinois","1755.0","1006.0","749.0","-"
"Maryland","4571.0","2113.0","2458.0","-"
"Massachusetts","3085.0","1546.0","1539.0","-"
"Michigan","728.0","390.0","338.0","-"
"Minnesota","3077.0","1505.0","1572.0","-"
"Missouri","652.0","334.0","318.0","-"
"New Jersey","3452.0","1779.0","1673.0","-"
"New York","3844.0","2117.0","1727.0","-"
"North Carolina","952.0","582.0","370.0","-"
"Ohio","2129.0","1136.0","993.0","-"
"Pennsylvania","1899.0","1024.0","875.0","-"
"Tennessee","840.0","463.0","377.0","-"
"Texas","4107.0","2064.0","2043.0","-"
"Virginia","3916.0","2008.0","1907.0","1.0"
"Washington","1036.0","542.0","494.0","-"
"Other","6313.0","3491.0","2822.0","-"
"Unknown","416.0","232.0","171.0","13.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
