"Persons Naturalized During Fiscal Year 2008","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Brazil","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","8808.0","3027.0","5781.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","600.0","273.0","327.0","-"
"25-34 years","2309.0","691.0","1618.0","-"
"35-44 years","2891.0","987.0","1904.0","-"
"45-54 years","2043.0","725.0","1318.0","-"
"55-64 years","732.0","263.0","469.0","-"
"65 years and over","233.0","88.0","145.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1152.0","609.0","543.0","-"
"Married","6343.0","2001.0","4342.0","-"
"Other","1264.0","395.0","869.0","-"
"Unknown","49.0","22.0","27.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","778.0","308.0","470.0","-"
"Service occupations","167.0","D","D","-"
"Sales and office occupations","273.0","81.0","192.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","35.0","D","-"
"Production, transportation, and material moving occupations","131.0","93.0","38.0","-"
"Military","65.0","D","D","-"
"No occupation/not working outside home","731.0","167.0","564.0","-"
"Homemakers","156.0","4.0","152.0","-"
"Students or children","488.0","138.0","350.0","-"
"Retirees","47.0","19.0","28.0","-"
"Unemployed","40.0","6.0","34.0","-"
"Unknown","6625.0","2265.0","4360.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","82.0","26.0","56.0","-"
"California","1146.0","343.0","803.0","-"
"Colorado","77.0","21.0","56.0","-"
"Connecticut","191.0","65.0","126.0","-"
"Florida","2356.0","827.0","1529.0","-"
"Georgia","203.0","50.0","153.0","-"
"Illinois","141.0","46.0","95.0","-"
"Maryland","178.0","62.0","116.0","-"
"Massachusetts","1295.0","509.0","786.0","-"
"Michigan","74.0","25.0","49.0","-"
"Minnesota","36.0","9.0","27.0","-"
"Nevada","67.0","21.0","46.0","-"
"New Jersey","772.0","254.0","518.0","-"
"New York","527.0","185.0","342.0","-"
"Ohio","57.0","17.0","40.0","-"
"Pennsylvania","96.0","40.0","56.0","-"
"Texas","427.0","151.0","276.0","-"
"Virginia","162.0","48.0","114.0","-"
"Washington","68.0","24.0","44.0","-"
"Other","804.0","282.0","522.0","-"
"Unknown","49.0","22.0","27.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
