"Persons Naturalized During Fiscal Year 2008","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Costa Rica","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2376.0","881.0","1494.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","132.0","59.0","73.0","-"
"25-34 years","607.0","233.0","374.0","-"
"35-44 years","679.0","257.0","422.0","-"
"45-54 years","503.0","170.0","333.0","-"
"55-64 years","306.0","110.0","195.0","1.0"
"65 years and over","149.0","52.0","97.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","377.0","170.0","207.0","-"
"Married","1623.0","598.0","1025.0","-"
"Other","364.0","109.0","255.0","-"
"Unknown","12.0","4.0","7.0","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","188.0","78.0","110.0","-"
"Service occupations","56.0","17.0","39.0","-"
"Sales and office occupations","74.0","16.0","58.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","74.0","D","D","-"
"Military","19.0","D","D","-"
"No occupation/not working outside home","231.0","51.0","180.0","-"
"Homemakers","79.0","3.0","76.0","-"
"Students or children","105.0","24.0","81.0","-"
"Retirees","28.0","16.0","12.0","-"
"Unemployed","19.0","8.0","11.0","-"
"Unknown","1717.0","637.0","1079.0","1.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","36.0","10.0","26.0","-"
"California","396.0","150.0","246.0","-"
"Colorado","23.0","3.0","20.0","-"
"Connecticut","20.0","7.0","13.0","-"
"Florida","623.0","213.0","410.0","-"
"Georgia","43.0","17.0","26.0","-"
"Illinois","25.0","15.0","10.0","-"
"Maryland","42.0","21.0","21.0","-"
"Massachusetts","68.0","25.0","43.0","-"
"Minnesota","19.0","12.0","7.0","-"
"Nevada","31.0","7.0","24.0","-"
"New Jersey","305.0","136.0","169.0","-"
"New York","185.0","66.0","119.0","-"
"Ohio","16.0","6.0","10.0","-"
"Oregon","14.0","7.0","7.0","-"
"Pennsylvania","39.0","16.0","23.0","-"
"Texas","154.0","46.0","108.0","-"
"Virginia","46.0","18.0","28.0","-"
"Washington","19.0","5.0","14.0","-"
"Other","260.0","97.0","163.0","-"
"Unknown","12.0","4.0","7.0","1.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
