"Persons Naturalized During Fiscal Year 2008","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Cuba","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","39871.0","17868.0","21979.0","24.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","3334.0","1451.0","1882.0","1.0"
"25-34 years","6212.0","2629.0","3581.0","2.0"
"35-44 years","10136.0","5017.0","5116.0","3.0"
"45-54 years","6431.0","3079.0","3345.0","7.0"
"55-64 years","5837.0","2592.0","3238.0","7.0"
"65 years and over","7921.0","3100.0","4817.0","4.0"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","7487.0","3719.0","3768.0","-"
"Married","22583.0","11047.0","11536.0","-"
"Other","9166.0","2885.0","6281.0","-"
"Unknown","635.0","217.0","394.0","24.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","1825.0","807.0","1018.0","-"
"Service occupations","404.0","147.0","257.0","-"
"Sales and office occupations","662.0","263.0","399.0","-"
"Farming, fishing, and forestry occupations","7.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","351.0","D","D","-"
"Production, transportation, and material moving occupations","783.0","560.0","223.0","-"
"Military","105.0","75.0","30.0","-"
"No occupation/not working outside home","3201.0","1126.0","2075.0","-"
"Homemakers","469.0","5.0","464.0","-"
"Students or children","1519.0","561.0","958.0","-"
"Retirees","718.0","399.0","319.0","-"
"Unemployed","495.0","161.0","334.0","-"
"Unknown","32533.0","14537.0","17972.0","24.0"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","120.0","68.0","52.0","-"
"California","653.0","337.0","316.0","-"
"Colorado","25.0","16.0","9.0","-"
"Connecticut","44.0","21.0","23.0","-"
"Florida","34312.0","15170.0","19142.0","-"
"Georgia","195.0","99.0","96.0","-"
"Illinois","109.0","55.0","54.0","-"
"Maryland","44.0","28.0","16.0","-"
"Massachusetts","84.0","47.0","37.0","-"
"Michigan","94.0","46.0","48.0","-"
"Nevada","364.0","195.0","169.0","-"
"New Jersey","1033.0","476.0","557.0","-"
"New York","382.0","202.0","180.0","-"
"Ohio","25.0","12.0","13.0","-"
"Oregon","85.0","49.0","36.0","-"
"Pennsylvania","92.0","40.0","52.0","-"
"Texas","432.0","214.0","218.0","-"
"Virginia","109.0","57.0","52.0","-"
"Washington","34.0","16.0","18.0","-"
"Other","1000.0","503.0","497.0","-"
"Unknown","635.0","217.0","394.0","24.0"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
