"Persons Naturalized During Fiscal Year 2008","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Dominica","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","975.0","402.0","573.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","104.0","42.0","62.0","-"
"25-34 years","222.0","97.0","125.0","-"
"35-44 years","293.0","121.0","172.0","-"
"45-54 years","200.0","79.0","121.0","-"
"55-64 years","95.0","45.0","50.0","-"
"65 years and over","61.0","18.0","43.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","357.0","137.0","220.0","-"
"Married","492.0","215.0","277.0","-"
"Other","102.0","41.0","61.0","-"
"Unknown","24.0","9.0","15.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","66.0","20.0","46.0","-"
"Service occupations","14.0","D","D","-"
"Sales and office occupations","12.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","5.0","5.0","-","-"
"Production, transportation, and material moving occupations","8.0","D","D","-"
"Military","23.0","D","D","-"
"No occupation/not working outside home","53.0","18.0","35.0","-"
"Homemakers","9.0","-","9.0","-"
"Students or children","36.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","794.0","332.0","462.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","D","D","D","-"
"California","21.0","10.0","11.0","-"
"Colorado","D","-","D","-"
"Connecticut","15.0","7.0","8.0","-"
"Florida","200.0","84.0","116.0","-"
"Georgia","34.0","16.0","18.0","-"
"Illinois","12.0","5.0","7.0","-"
"Maryland","37.0","11.0","26.0","-"
"Massachusetts","38.0","23.0","15.0","-"
"Michigan","3.0","-","3.0","-"
"Minnesota","D","-","D","-"
"Nevada","4.0","D","D","-"
"New Jersey","77.0","36.0","41.0","-"
"New York","170.0","56.0","114.0","-"
"Ohio","3.0","D","D","-"
"Pennsylvania","8.0","3.0","5.0","-"
"Texas","47.0","20.0","27.0","-"
"Virginia","15.0","6.0","9.0","-"
"Washington","4.0","D","D","-"
"Other","258.0","111.0","147.0","-"
"Unknown","24.0","9.0","15.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
