"Persons Naturalized During Fiscal Year 2009","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Latvia","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","404.0","157.0","247.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","44.0","25.0","19.0","-"
"25-34 years","163.0","51.0","112.0","-"
"35-44 years","96.0","38.0","58.0","-"
"45-54 years","47.0","22.0","25.0","-"
"55-64 years","35.0","15.0","20.0","-"
"65 years and over","19.0","6.0","13.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","78.0","48.0","30.0","-"
"Married","263.0","95.0","168.0","-"
"Other","63.0","14.0","49.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","62.0","25.0","37.0","-"
"Service occupations","21.0","D","D","-"
"Sales and office occupations","33.0","5.0","28.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","7.0","D","D","-"
"Production, transportation, and material moving occupations","24.0","D","D","-"
"Military","3.0","D","D","-"
"No occupation/not working outside home","63.0","18.0","45.0","-"
"Homemakers","7.0","D","D","-"
"Students or children","48.0","15.0","33.0","-"
"Retirees","D","D","D","-"
"Unemployed","D","-","D","-"
"Unknown","191.0","79.0","112.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"Arizona","3.0","D","D","-"
"California","54.0","11.0","43.0","-"
"Colorado","3.0","D","D","-"
"Connecticut","5.0","D","D","-"
"Florida","30.0","3.0","27.0","-"
"Georgia","13.0","4.0","9.0","-"
"Illinois","30.0","14.0","16.0","-"
"Maryland","5.0","D","D","-"
"Massachusetts","24.0","12.0","12.0","-"
"Michigan","9.0","5.0","4.0","-"
"Minnesota","9.0","3.0","6.0","-"
"New Jersey","21.0","10.0","11.0","-"
"New York","69.0","26.0","43.0","-"
"North Carolina","15.0","8.0","7.0","-"
"Ohio","5.0","D","D","-"
"Pennsylvania","8.0","5.0","3.0","-"
"Texas","8.0","5.0","3.0","-"
"Virginia","13.0","6.0","7.0","-"
"Washington","27.0","14.0","13.0","-"
"Other","53.0","22.0","31.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
