"Persons Naturalized During Fiscal Year 2009","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Netherlands Antilles","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","40.0","17.0","23.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","5.0","D","D","-"
"25-34 years","9.0","D","D","-"
"35-44 years","7.0","D","D","-"
"45-54 years","8.0","D","D","-"
"55-64 years","11.0","3.0","8.0","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","15.0","D","D","-"
"Married","17.0","7.0","10.0","-"
"Other","5.0","D","D","-"
"Unknown","3.0","2.0","1.0","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","9.0","D","D","-"
"Service occupations","D","D","-","-"
"Sales and office occupations","D","D","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","7.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","4.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","D","-"
"Unknown","20.0","7.0","13.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"California","D","D","-","-"
"Colorado","D","-","D","-"
"Florida","6.0","3.0","3.0","-"
"Illinois","D","-","D","-"
"Maryland","D","D","-","-"
"Michigan","D","D","-","-"
"New Jersey","4.0","D","D","-"
"New York","11.0","3.0","8.0","-"
"North Carolina","3.0","D","D","-"
"Pennsylvania","D","D","D","-"
"Other","6.0","2.0","4.0","-"
"Unknown","3.0","2.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
