"Persons Naturalized During Fiscal Year 2009","","","",""
"by Region/Country of Birth and Selected Characteristics","","","",""
"","","","",""
"Region/Country: Oman","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","32.0","22.0","10.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","16.0","10.0","6.0","-"
"25-34 years","13.0","9.0","4.0","-"
"35-44 years","3.0","3.0","-","-"
"45-54 years","-","-","-","-"
"55-64 years","-","-","-","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","19.0","13.0","6.0","-"
"Married","9.0","D","D","-"
"Other","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","D","D","D","-"
"Service occupations","-","-","-","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","D","-","-"
"Military","D","D","-","-"
"No occupation/not working outside home","13.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","13.0","8.0","5.0","-"
"Retirees","-","-","-","-"
"Unemployed","-","-","-","-"
"Unknown","11.0","8.0","3.0","-"
"","","","",""
"Leading states of permanent residence","","","",""
"California","D","D","-","-"
"Connecticut","D","D","-","-"
"Illinois","4.0","D","D","-"
"Massachusetts","D","D","-","-"
"Michigan","D","D","D","-"
"New Jersey","4.0","D","D","-"
"New York","5.0","D","D","-"
"Texas","6.0","D","D","-"
"Virginia","D","D","-","-"
"Other","5.0","2.0","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
